;Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Botryococcus;Brassicaceae;Buxus;Callidina angusticollis;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Castanea sativa;Centaurea;Cerealia-type;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Crepis-type;Cyperaceae;Entophlyctis lobata;Euhedra distachya-type;Ephedra fragilis-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juglans;Juniperus;Mercuriales-type;Onagraceae;Oxalis stricta;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Scrophularia-type;Senecio-type;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
X27446.0610202546;0;0;0,01;0,01;0;0,073;0;0,219;0,158;0,042;0;0;0,01;0;0,031;0;0;0;0,042;0;0,01;0,042;0,562;0;0;0;0;0;0;0,052;0;0;0,01;0;0;0;0;0;0;0;0,047;0,099;0;0,177;0;0;0;0,547;0;0;0;0,031;0;0;0,021;0;0,063;0;0;0;0,006
X27547.1402151446;0;0;0;0,012;0;0,075;0;0,112;0,222;0,037;0;0;0;0;0;0;0;0;0;0;0,025;0;0,59;0;0;0,012;0;0;0;0;0;0;0,037;0;0;0;0;0;0;0;0,019;0,05;0,012;0,46;0;0;0;0,596;0,037;0;0,05;0;0;0;0,025;0;0,025;0;0;0;0
X27648.2194100346;0;0;0;0,01;0;0,117;0;0,127;0,163;0,01;0;0;0;0;0,039;0;0;0;0,029;0;0;0,02;0,513;0;0;0;0,01;0;0;0,039;0;0;0,01;0;0;0;0,01;0;0;0;0,034;0,127;0,01;0,273;0,01;0;0;0,489;0;0;0;0,01;0;0,01;0,02;0;0,068;0;0;0;0,022
X27749.2986049245;0;0;0,012;0;0;0,06;0;0,144;0,107;0;0;0;0;0;0,012;0;0;0;0;0;0,012;0;0,676;0;0;0;0;0;0;0,012;0;0;0;0;0;0;0;0;0;0;0,03;0,144;0,036;0,431;0;0;0;0,486;0;0;0;0,012;0;0;0,012;0;0,072;0;0;0;0,012
X27951.4569947045;0;0;0;0;0;0,037;0;0,101;0,181;0,046;0;0;0;0;0,009;0;0;0;0;0;0;0,009;0,632;0;0;0;0;0;0;0,018;0;0;0;0;0;0;0,018;0;0;0;0,018;0,069;0,009;0,516;0;0;0;0,249;0;0,018;0;0,018;0;0;0;0;0,101;0;0;0;0,006
X28052.5361895945;0;0;0,012;0;0;0,035;0;0,105;0,066;0,035;0;0;0;0;0,023;0;0;0;0;0;0,012;0,023;0,632;0;0;0;0;0;0;0,012;0;0;0,023;0;0;0;0;0;0;0;0,035;0,111;0,012;0,351;0,012;0;0;0,51;0;0;0;0,023;0;0;0,012;0;0,117;0;0;0;0,009
X28153.6153844846;0;0;0;0,007;0;0,046;0;0,092;0,121;0,092;0;0;0;0;0,046;0;0;0;0,007;0;0;0,026;0,604;0;0;0;0;0;0;0,033;0;0;0;0;0;0;0,007;0;0;0;0,023;0,154;0;0,281;0,013;0;0;0,326;0;0,007;0;0,039;0;0;0,02;0;0,085;0;0;0;0,009
X28305.2341768196;0;0;0;0,01;0;0,073;0;0,104;0,15;0,031;0;0;0;0;0,041;0;0;0;0;0;0,01;0,021;0,588;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0,021;0,13;0,021;0,363;0,01;0;0;0,45;0;0,01;0;0,01;0;0;0,031;0;0,073;0;0;0;0
X28456.8529691546;0;0;0;0,01;0,01;0,081;0;0,081;0,294;0,051;0;0;0;0;0,061;0;0;0;0,02;0;0;0,01;0,714;0;0;0;0;0;0;0,061;0;0;0,01;0;0;0;0,02;0;0,041;0;0,03;0,096;0;0,355;0;0;0;0,323;0;0;0;0;0;0;0;0;0,041;0;0;0;0,005
X28557.9321640446;0;0;0;0;0,007;0,021;0;0,082;0,219;0,075;0;0;0;0;0,055;0;0;0;0,021;0;0,007;0,007;0,673;0;0;0;0;0;0;0,014;0;0;0;0;0;0;0;0;0;0;0,014;0,137;0;0,432;0;0;0;0,24;0;0,014;0;0;0;0;0,027;0;0,062;0;0;0;0,006
X28810.6301512695;0;0;0;0,012;0;0,047;0;0,14;0,113;0,07;0;0;0;0;0;0;0;0;0,012;0;0;0,023;0,587;0;0;0;0;0;0;0;0;0;0,012;0;0;0;0,012;0;0;0;0,041;0,157;0;0,36;0;0;0;0,533;0;0;0;0;0;0;0,012;0;0,081;0;0;0;0
X28962.2489436046;0;0;0;0;0;0,01;0;0,102;0,245;0,071;0;0;0;0;0,041;0;0;0;0;0;0,02;0,02;0,59;0;0;0;0;0;0;0,051;0;0;0,01;0;0;0;0,01;0;0,02;0;0,061;0,127;0;0,325;0,01;0;0;0,477;0;0;0,01;0,03;0;0;0,01;0;0,061;0;0;0;0,009
X29063.3281384946;0;0;0;0;0;0,029;0;0,254;0,156;0,049;0;0;0;0,02;0;0;0;0;0,02;0;0;0,01;0,491;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0,01;0;0;0;0,024;0,059;0;0,38;0;0;0;0,504;0,01;0;0,039;0;0;0;0,01;0;0,068;0;0;0;0,029
X29164.4073333846;0;0;0;0,017;0,017;0,052;0;0,2;0,142;0,052;0;0;0,009;0;0;0;0;0;0,009;0;0;0,009;0,527;0;0;0;0;0;0;0,035;0;0;0,009;0,009;0;0;0,017;0;0;0;0,039;0,083;0,009;0,348;0,009;0;0;0,491;0;0;0,009;0,009;0;0;0;0;0,035;0;0;0;0,011
X29265.4865282746;0;0;0;0;0;0,04;0;0,119;0,303;0,01;0;0;0;0;0,02;0;0;0;0,02;0;0;0,04;0,519;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,035;0,173;0;0,436;0;0;0;0,517;0,01;0;0;0,01;0;0;0,02;0;0;0;0;0,02;0,009
X29366.5657231645;0;0;0;0;0;0,01;0,01;0,147;0,287;0,078;0;0;0;0;0,02;0;0;0;0,01;0;0;0,01;0,553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,074;0,152;0;0,353;0;0;0;0,505;0,02;0;0;0;0;0;0,01;0;0,078;0;0;0;0,006
X29568.7241129446;0;0;0;0,025;0;0,075;0;0,167;0,172;0,058;0;0;0;0;0,033;0;0;0;0;0;0,008;0,017;0,5;0;0;0;0;0;0;0,033;0;0;0,017;0;0;0;0;0;0;0;0,025;0,142;0;0,192;0,017;0;0;0,508;0;0,008;0,025;0;0;0;0,017;0;0,142;0;0;0;0,008
X29669.8033078346;0;0;0;0,008;0;0,041;0;0,173;0,147;0,025;0;0;0;0,008;0,025;0;0;0;0;0;0,016;0;0,444;0;0;0;0;0;0;0,008;0;0;0,016;0;0;0;0,016;0;0;0;0,008;0,037;0;0,403;0;0;0,008;0,48;0,058;0;0,058;0,016;0;0;0;0;0,074;0;0;0;0,018
X29770.8825027246;0;0;0,019;0;0;0,047;0;0,187;0,151;0,019;0;0;0;0;0,019;0;0;0;0,019;0;0,009;0,028;0,549;0;0;0;0;0;0;0,037;0;0;0;0,009;0;0;0;0;0;0;0,089;0,136;0;0,215;0;0;0;0,535;0;0,009;0,009;0;0;0;0;0;0,112;0;0;0;0,008
X29871.9616976145;0;0;0;0;0;0,011;0;0,057;0,243;0,034;0;0;0;0;0,034;0;0;0;0,011;0;0;0,034;0,64;0;0;0,011;0;0;0;0;0;0;0,034;0;0;0;0;0;0;0;0,098;0,109;0,011;0,437;0;0;0;0,576;0;0;0;0,023;0;0;0,034;0;0,046;0;0;0;0,011
X29973.0408925045;0,011;0;0;0,011;0;0,043;0;0,097;0,25;0,032;0;0;0;0;0,022;0;0;0;0;0;0;0,022;0,557;0;0;0;0;0;0;0,032;0;0;0;0;0;0;0,022;0;0;0;0,043;0,215;0,043;0,355;0;0;0;0,516;0;0;0;0;0;0;0,022;0;0,032;0;0;0;0,013
X30175.1992822845;0;0;0;0;0;0,021;0;0,064;0,223;0,053;0;0;0;0;0,011;0;0;0;0,011;0;0,011;0,032;0,548;0;0;0;0;0;0;0,011;0;0;0;0;0;0;0;0;0;0;0,138;0,117;0,011;0,404;0,021;0;0;0,513;0;0;0;0,011;0;0;0,011;0;0,074;0;0;0;0,006
X30225.7388797295;0;0;0;0,018;0;0,073;0;0,155;0,191;0,018;0;0;0;0;0;0;0;0;0,064;0;0;0,045;0,491;0;0;0;0;0;0;0,018;0;0;0,045;0;0;0;0,018;0;0;0;0;0,155;0,009;0,2;0,018;0;0;0,59;0;0;0;0,027;0;0;0,018;0;0,091;0;0;0;0,011
X30276.2784771746;0;0;0;0,025;0;0,093;0;0,102;0,126;0,051;0;0;0;0;0,017;0;0;0;0,008;0;0,008;0,025;0,593;0;0;0,008;0;0;0;0;0;0;0,025;0;0;0;0;0;0;0;0,038;0,123;0;0,331;0,008;0;0;0,496;0;0;0;0,025;0;0;0;0;0,102;0;0;0;0,012
X30326.8180746196;0;0;0;0;0;0,008;0;0,167;0,112;0,025;0;0;0;0,008;0,017;0;0;0;0;0;0,008;0,025;0,482;0;0;0;0;0;0;0;0;0;0,017;0;0;0;0,008;0;0;0;0,013;0,042;0;0,51;0;0;0;0,453;0,008;0;0,017;0;0,008;0;0,008;0;0,1;0;0;0;0,012
X30377.3576720646;0;0;0,007;0;0;0,043;0;0,1;0,256;0,036;0;0;0;0;0,029;0;0;0;0,022;0;0;0,014;0,51;0;0;0;0;0;0;0;0;0;0,007;0;0;0;0,014;0;0;0;0,065;0,204;0;0,38;0,007;0;0;0,508;0;0;0;0,036;0;0;0;0;0,029;0;0;0;0,007
