Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Brassicaceae;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Cyperaceae;Euhedra distachya-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
0;0;0,094;0,01;0;0,01;0;0,302;0,003;0;0;0,003;0;0;0;0;0,117;0,046;0;0,019;0;0,045;0;0,052;0;0;0;0;0;0;0,01;0;0,039;0,003;0;0,208;0,006;0;0,003;0,006;0,003;0;0;0;0,029;0;0,036;0,027
0;0;0,095;0,006;0;0;0;0,363;0;0;0,003;0,003;0;0;0;0;0,095;0,018;0;0,015;0;0,052;0;0,055;0;0;0;0;0;0,017;0,028;0;0,055;0;0;0,154;0;0;0;0;0;0;0;0;0,022;0;0,031;0,006
0;0,003;0,088;0,006;0;0;0;0,302;0;0;0;0,003;0;0;0;0;0,159;0,013;0,003;0,016;0;0,019;0;0,052;0;0;0;0;0;0,019;0,029;0;0,019;0;0;0,179;0;0,003;0;0,006;0,003;0;0;0;0,039;0;0,045;0,006
0;0,01;0,085;0,003;0;0;0;0,299;0;0;0;0,003;0;0;0;0;0,117;0,016;0;0,013;0;0,033;0;0,062;0;0,003;0;0;0;0,023;0,028;0;0,023;0;0;0,237;0;0;0;0;0,003;0;0;0,003;0,02;0;0,026;0,006
0;0,006;0,078;0,006;0;0,006;0;0,357;0;0;0;0;0;0;0;0;0,107;0,009;0;0,025;0;0,041;0;0,044;0;0;0;0;0;0,022;0,028;0;0,041;0;0;0,141;0;0,009;0;0,003;0,003;0;0;0;0,034;0;0,038;0,003
0;0,003;0,107;0,006;0;0;0;0,281;0;0;0;0,006;0;0;0;0;0,115;0,029;0;0;0;0,038;0;0,056;0;0;0,003;0;0;0,024;0,021;0,003;0,053;0;0;0,186;0;0,006;0;0,003;0,003;0;0;0;0,03;0,003;0,044;0,003
0,007;0;0,081;0,01;0;0,02;0,003;0,281;0;0,003;0;0;0;0;0;0;0,075;0,066;0;0;0;0,024;0;0,071;0;0,003;0;0;0,003;0,015;0,032;0;0,071;0;0;0,186;0,013;0,007;0;0;0;0;0;0;0,031;0;0,051;0,009
0;0,003;0,079;0,007;0;0,003;0;0,208;0;0;0;0,003;0;0;0,003;0;0,129;0,032;0,003;0;0;0,03;0;0,112;0;0;0;0;0,03;0,012;0,023;0;0,049;0;0;0,204;0;0,013;0;0,003;0;0;0;0;0,016;0;0,063;0,003
0;0;0,05;0,021;0;0,003;0;0,318;0;0;0;0,009;0;0;0;0;0,131;0,034;0;0,006;0;0,024;0;0,045;0,003;0;0,003;0;0;0,016;0,034;0;0,05;0;0;0,181;0;0,009;0;0;0;0;0;0;0,027;0,003;0,065;0,006
0;0;0,094;0,014;0;0;0;0,308;0;0;0,003;0,003;0;0;0;0;0,147;0,059;0;0,003;0;0,01;0;0,049;0;0;0;0;0;0,03;0,033;0;0,038;0;0;0,154;0,007;0,01;0;0,007;0,01;0;0;0;0,021;0,003;0,052;0,006
0;0;0,074;0;0;0;0;0,281;0;0;0;0,007;0;0;0;0;0,134;0,032;0;0,01;0;0,02;0;0,057;0;0,003;0,003;0;0,01;0,012;0,008;0;0,03;0;0;0,258;0;0,003;0;0;0;0;0;0;0,03;0;0,057;0
0;0;0,064;0,003;0;0;0;0,266;0;0;0;0;0;0;0;0;0,145;0,036;0;0,01;0;0,01;0;0,044;0,003;0;0;0;0,003;0,034;0,029;0;0,044;0;0;0,242;0;0,01;0;0,003;0;0;0;0;0,02;0;0,064;0,006
0,003;0;0,064;0,01;0;0,01;0;0,191;0;0;0;0;0,003;0;0;0;0,087;0,069;0;0,01;0;0,02;0;0,104;0;0;0;0;0;0,034;0,017;0;0,091;0;0;0,235;0,013;0,003;0;0,01;0,003;0;0;0;0,013;0;0,084;0,033
