;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Ephedra;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculaceae;Rosaceae;Rubiaceae;Salix;Sanguisorba;Saxifraga;Saxifragaceae;Scabiosa;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Urtica;Valeriana;Varia;Hippophae rhamnoides;Rumex;Asteraceae subf. Cichorioideae;Apiaceae;Fabaceae;Brassicaceae;Asteraceae subf. Asteroideae
X4482.6364298843;0,002024291;0;0,147773279;0,004048583;0,101214575;0;0;0;0;0;0;0,0951417;0,016194332;0;0,010121457;0;0,44534413;0,004048583;0,024291498;0,032388664;0;0;0;0;0,01417004;0,04048583;0,006072874;0;0;0,036437247;0;0;0;0;0;0;0;0;0,004048583;0;0,002024291;0;0,010121457;0;0;0;0;0,004048583;0;0;0;0;0
X4638.86130853074;0,007142857;0,001190476;0,132142857;0;0,051190476;0;0;0;0;0;0;0,110714286;0,01547619;0;0,005952381;0;0,541666667;0;0,011904762;0,01547619;0;0;0;0;0,010714286;0,032142857;0,001190476;0;0,001190476;0,033333333;0;0,001190476;0;0,001190476;0;0;0;0;0;0;0,005952381;0;0,011904762;0;0;0;0;0;0;0,007142857;0;0,001190476;0
X4806.21646323776;0;0,00228833;0,171624714;0,00228833;0,128146453;0;0;0;0;0;0;0,112128146;0,036613272;0;0,009153318;0;0,398169336;0,00228833;0,018306636;0,025171625;0;0;0;0;0,020594966;0,011441648;0,00228833;0;0;0,025171625;0;0,004576659;0;0,004576659;0;0;0;0;0;0;0,004576659;0;0,013729977;0;0;0,00228833;0;0;0;0,00228833;0;0,00228833;0
X5086.08994687134;0,003355705;0;0,149328859;0,001677852;0,248322148;0;0;0,003355705;0;0;0;0,095637584;0,021812081;0;0,005033557;0;0,256711409;0,003355705;0,010067114;0,041946309;0;0;0;0;0,016778523;0,046979866;0,006711409;0;0;0,062080537;0,005033557;0;0;0,005033557;0;0;0;0;0,003355705;0;0;0;0,008389262;0;0;0;0;0,001677852;0;0,001677852;0;0,001677852;0
X5394.77487725316;0,01;0;0,156;0,002;0,076;0;0;0;0;0;0;0,146;0,028;0;0;0;0,436;0;0,046;0,014;0;0;0;0;0,008;0,012;0,002;0;0;0,04;0;0;0;0,002;0;0;0;0;0;0;0,008;0;0,002;0;0;0,004;0;0,002;0;0,006;0;0;0
X5712.51958411371;0,002762431;0;0,129834254;0;0,127071823;0;0;0;0;0;0;0,179558011;0,005524862;0;0;0;0,386740331;0;0,046961326;0,008287293;0;0;0;0;0,008287293;0,013812155;0;0;0;0,052486188;0;0,005524862;0,002762431;0;0;0;0;0;0;0;0,008287293;0;0,013812155;0;0;0;0;0;0;0,008287293;0;0;0
X6081.28849752734;0,009063444;0,003021148;0,104229607;0;0,070996979;0;0;0;0;0;0;0,119335347;0,01510574;0;0;0;0,509063444;0;0,027190332;0,006042296;0;0;0;0;0,019637462;0,013595166;0;0;0;0,058912387;0,001510574;0,004531722;0;0,003021148;0;0;0;0;0;0;0,012084592;0;0,01510574;0;0;0,001510574;0;0,001510574;0;0,004531722;0;0;0
X6468.15573773184;0,003350084;0,005025126;0,112227806;0;0,102177554;0;0;0;0;0;0;0,092127303;0,011725293;0;0,008375209;0;0,4639866;0,001675042;0,025125628;0,008375209;0,001675042;0;0;0;0,011725293;0,006700168;0;0;0;0,123953099;0;0,001675042;0;0;0;0;0;0;0;0;0,015075377;0;0,003350084;0;0;0,001675042;0;0;0;0;0;0;0
X6851.13539194259;0,009345794;0;0,08411215;0;0,142523364;0;0;0;0;0;0;0,130841121;0,025700935;0;0,002336449;0;0,207943925;0;0,03271028;0,014018692;0;0;0;0;0,007009346;0,028037383;0;0;0;0,275700935;0;0;0;0,004672897;0;0;0;0;0;0;0,011682243;0;0,011682243;0;0;0;0;0;0;0,011682243;0;0;0
X7146.88923347441;0;0;0,100649351;0,003246753;0,13961039;0;0,006493506;0;0;0;0,003246753;0,12012987;0,025974026;0;0,019480519;0;0,155844156;0;0,038961039;0,019480519;0;0,003246753;0;0;0,022727273;0,074675325;0,006493506;0;0;0,178571429;0,00974026;0,006493506;0,006493506;0;0;0;0;0;0;0,003246753;0,00974026;0;0,00974026;0;0;0,012987013;0;0,003246753;0,003246753;0,016233766;0;0;0
