"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"Leroy_j4";0;0;0,012396694214876;0;0,351239669421488;0,00413223140495868;0,18595041322314;0,0867768595041322;0;0,0165289256198347;0,00413223140495868;0,0495867768595041;0,0743801652892562;0;0,198347107438017;0,012396694214876;0;0;0;0,00413223140495868
"Leroy_j5";0;0;0,00888888888888889;0;0,28;0,00444444444444444;0,24;0,08;0;0,00888888888888889;0;0,0711111111111111;0,102222222222222;0;0,177777777777778;0,0133333333333333;0;0;0;0,0133333333333333
"Leroy_j6";0;0;0,00975609756097561;0;0,326829268292683;0,0048780487804878;0,170731707317073;0,102439024390244;0;0,0146341463414634;0,00975609756097561;0,048780487804878;0,0829268292682927;0;0,204878048780488;0,024390243902439;0;0;0;0
"Leroy_j7";0;0,00462962962962963;0,0138888888888889;0,00462962962962963;0,217592592592593;0;0,189814814814815;0,0972222222222222;0;0,00925925925925926;0;0,0972222222222222;0,106481481481481;0;0,226851851851852;0,0231481481481481;0;0;0;0,00925925925925926
"Leroy_j8";0;0;0;0;0,518382352941177;0;0,172794117647059;0,0551470588235294;0;0,0294117647058824;0,00367647058823529;0,0551470588235294;0,0257352941176471;0;0,128676470588235;0,00735294117647059;0;0;0;0,00367647058823529
"Leroy_j9";0;0;0;0,00413223140495868;0,520661157024793;0;0,206611570247934;0,0330578512396694;0;0,012396694214876;0;0,0413223140495868;0,0247933884297521;0;0,144628099173554;0,00826446280991736;0;0;0;0,00413223140495868
"Leroy_j10";0;0;0;0,00408163265306122;0,379591836734694;0;0,16734693877551;0,036734693877551;0;0,0204081632653061;0;0,0408163265306122;0,0653061224489796;0;0,277551020408163;0;0;0;0;0,00816326530612245
"Leroy_j11";0;0;0,00873362445414847;0;0,393013100436681;0,00873362445414847;0,161572052401747;0,0786026200873362;0,00436681222707424;0,0218340611353712;0;0,0262008733624454;0,0960698689956332;0;0,174672489082969;0,00873362445414847;0,00436681222707424;0;0,00436681222707424;0,00873362445414847
"Leroy_j12";0;0;0,0173913043478261;0;0,352173913043478;0;0,104347826086957;0,0347826086956522;0;0,0260869565217391;0;0,0695652173913043;0,0826086956521739;0;0,3;0,00869565217391304;0;0;0;0,00434782608695652
"Leroy_j13";0;0;0,013953488372093;0;0,46046511627907;0;0,111627906976744;0,0790697674418605;0;0,00465116279069767;0;0,0604651162790698;0,0651162790697674;0;0,167441860465116;0,0325581395348837;0;0;0;0,00465116279069767
"Lopatina_a1";0;0,00609756097560976;0,695121951219512;0,0304878048780488;0,0426829268292683;0;0;0;0;0;0;0;0,207317073170732;0,00609756097560976;0,00609756097560976;0;0;0;0;0,00609756097560976
"Lopatina_a2";0;0;0,919786096256685;0,0160427807486631;0,0053475935828877;0;0;0;0;0;0;0;0,0481283422459893;0,0053475935828877;0;0;0;0;0;0,0053475935828877
"Lopatina_a3";0;0;0,322222222222222;0,0388888888888889;0,0666666666666667;0;0;0;0;0;0;0;0,305555555555556;0,0166666666666667;0,138888888888889;0;0;0;0;0,111111111111111
"Lopatina_a4";0;0;0,142857142857143;0,19047619047619;0,19047619047619;0;0;0;0;0;0;0;0,428571428571429;0;0;0;0;0;0;0,0476190476190476
"Lopatina_a5";0;0;0,0103092783505155;0,185567010309278;0,0721649484536082;0;0;0;0;0;0;0;0,195876288659794;0,530927835051546;0;0;0;0;0;0,00515463917525773
"Lopatina_a6";0;0;0,0225988700564972;0,231638418079096;0,0790960451977401;0;0;0;0;0;0;0;0,293785310734463;0,333333333333333;0;0;0,00564971751412429;0;0;0,0338983050847458
"Lopatina_a7";0;0;0,0614525139664804;0,206703910614525;0,122905027932961;0;0;0;0;0;0;0;0,497206703910615;0,0670391061452514;0,0111731843575419;0;0;0;0;0,0335195530726257
"Lopatina_a8";0;0;0,0670103092783505;0,329896907216495;0,216494845360825;0;0;0;0;0;0;0;0,231958762886598;0,0979381443298969;0,0309278350515464;0;0;0;0;0,0257731958762887
"Lopatina_a9";0;0;0,0126582278481013;0,449367088607595;0,069620253164557;0;0;0;0;0;0;0;0,379746835443038;0,0126582278481013;0,00632911392405063;0;0;0;0;0,069620253164557
"Lopatina_a10";0;0;0,0402298850574713;0,574712643678161;0,0804597701149425;0;0;0;0;0;0;0;0,224137931034483;0,0574712643678161;0,00574712643678161;0;0;0;0;0,0172413793103448
"Lopatina_a11";0;0;0,0113636363636364;0,426136363636364;0,0681818181818182;0;0;0;0;0;0;0;0,119318181818182;0,295454545454545;0,0397727272727273;0;0;0;0;0,0397727272727273
"Lopatina_a12";0;0;0,0211640211640212;0,232804232804233;0,0423280423280423;0;0;0;0;0;0;0;0,328042328042328;0,365079365079365;0;0;0;0;0;0,0105820105820106
"Lopatina_a13";0;0;0,0162162162162162;0,237837837837838;0,0162162162162162;0;0;0;0;0;0;0;0,383783783783784;0,286486486486487;0,0162162162162162;0;0;0;0;0,0432432432432432
"Lopatina_a14";0;0;0,0491803278688525;0,180327868852459;0,0218579234972678;0;0;0;0;0;0;0;0,0765027322404372;0,666666666666667;0;0;0,00546448087431694;0;0;0
