;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
Kunes_a56;0;0,001066098;0,193443385;0,007601935;0;0,002396713;0;0;0;0,023997281;0;5,65483E-05;0,003703511;0;9,03138E-05;0;0
Kunes_a57;0;0,002676182;0,112884161;0,035793195;0;0,013215859;0;0;0;0,009492002;0,000479233;0,000292783;0,023101864;0;0;0;0
Kunes_a58;0,003086419;0;0,062992126;0,013950073;0;0,031402142;0;0;0;0,014979639;0;0,002179177;0,025692583;0;0;0;0
Kunes_a59;0;0;0,024649589;0,012653779;0;0,001364567;0;0;0;0,02279696;0;0,001104606;0,02421406;0;0,000439329;0;0
Kunes_a60;0;0,000522739;0,012688615;0,012758357;0;0,001012658;0;0;0;0,001610144;0;0,010550113;0,052062413;0;0;0;0
Kunes_a61;0,003003003;0,002212389;0,119257087;0,02119883;0;0,022108844;0;0;0;0,007998837;0;0,00060562;0,023027051;0;0,000193686;0;0
Kunes_a62;0,004846527;0,00155521;0,122375832;0,046946565;0;0,002529085;0;0;0;0,024010873;0;0;0,009509451;0;0,000100432;0;0
Kunes_a63;0,006462036;0,000784314;0,026929052;0,021646695;0;0,00256476;0;0;0;0,014870458;0,00459674;0,003956605;0,036273702;0;0,002754259;0;0
Kunes_a64;0,013035382;0,000837521;0,068611561;0,021929825;0;0,001308216;0;0;0;0,019224806;0;0,000643998;0,025175157;0;0,000102722;0;0
Kunes_a65;0;0,000532198;0,06440322;0,01851369;0;0,002590226;0;0;0;0,013810162;0,000187248;0,008319753;0,031415684;0;0;0;0
Kunes_a66;0,006578948;0,003481894;0,068462898;0,016170763;0;0,00210615;0;0;0;0,025434243;0,000112511;0,000617538;0,015079666;0;0,001065574;0;0
Kunes_a67;0,012203877;0,019496632;0,040009414;0,091597675;0;0,001992265;0;0;0;0,002035802;0;0,000818666;0,030060985;0;0,000654665;0;0
Kunes_a68;0,0203125;0,010309278;0,013487476;0,054044381;0;0,00212766;0;0;0;0,00183047;0;0,008901382;0,035544512;0;0,000654695;0;0
Kunes_a69;0;0,001485884;0,024366472;0,0275562;0;0,002398082;0;0;0;0,006577066;0;0,001189626;0,048726953;0;0,000190042;0;0
Kunes_a70;0,009140768;0,00448833;0,038072576;0,039590747;0;0,002365464;0;0;0;0,00300885;0;0;0,048564821;0;0,00023571;0;0
Kunes_a71;0;0,005761844;0,006369427;0,089263024;0;0,000844951;0;0;0;0,001897293;0;0,001580278;0,039572193;0;0,001937495;0;0
Kunes_a72;0,007978724;0,001206273;0,109984399;0,010951009;0;0,002271867;0;0;0;0,0215585;0;0,000186602;0,018238128;0;0,000446562;0;0
Kunes_a73;0,006784261;0,007198953;0,07330746;0,047588424;0;0,001065644;0;0;0;0,012092668;0;0,000741683;0,028741812;0;0,000169334;0;0
Kunes_a74;0,023668639;0,014001474;0,01373896;0,096358956;0;0,000245038;0;0;0;0,002351212;0;0,00122444;0,036279385;0;0,00029383;0;0
Kunes_a75;0,008174386;0,002017485;0,042857143;0,125626462;0;0,001555901;0;0;0;0,003594728;0;0,000221803;0,022108495;0;8,86839E-05;0;0
Kunes_a76;0,014522821;0,003033367;0,005347594;0,032950574;0;0;0;0;0;0,003369673;0;0,001980525;0,056198599;0;0;0;0
Kunes_a77;0,013201321;0;0,008592911;0,014457831;0;0;0;0;0;0,004474273;0;0,001064679;0,062638172;0;0;0;0
Kunes_a78;0,015604681;0,006455778;0,004723057;0,025731747;0;0,000214179;0;0;0;0,000256772;0;0,003422826;0,061210386;0;8,55505E-05;0;0
