"";"Abies";"Acer.campestre.type";"Alnus";"Apiaceae";"Armeria.type";"Artemisia";"Asteraceae.subf..Cichorioideae";"Asteraceae.subf..Asteroideae";"Betula";"Boraginaceae";"Botrychium";"Brassicaceae";"Buxus";"Calluna.vulgaris";"Campanulaceae";"Carpinus";"Caryophyllaceae..periporate.excl..Paronychioideae.";"Cedrus";"Centaurea";"Chenopodiaceae.Amaranthaceae";"Corylus";"Cyperaceae";"Dipsacaceae";"Ephedra";"Ericaceae";"Euphorbia";"Fagaceae";"Fagus";"Filipendula";"Fraxinus";"Hedera";"Helianthemum";"Hippophae.rhamnoides";"Juniperus";"Lamiaceae";"Olea.europaea";"Picea";"Pinus";"Plantago";"Plantago.lanceolata.type";"Poaceae";"Polygonum";"Quercus.robur.type";"Quercus.ilex.type";"Ranunculaceae";"Rosaceae";"Rubiaceae";"Rumex";"Salix";"Saxifraga";"Scrophulariaceae";"Thalictrum";"Thymelaeaceae";"Tilia";"Ulmus";"Urticaceae"
"Barboni_a1128";0;0;0;0,0194174757281553;0;0,058252427184466;0,116504854368932;0,0388349514563107;0;0;0;0,339805825242718;0;0;0;0;0,029126213592233;0;0;0,058252427184466;0;0;0;0;0;0,0097087378640777;0;0;0;0;0;0;0;0;0,0097087378640777;0,12621359223301;0;0,0097087378640777;0,0485436893203883;0;0,097087378640777;0;0;0,0194174757281553;0;0,0097087378640777;0;0;0;0;0,0097087378640777;0;0;0;0;0
"Barboni_a1129";0,0394944707740917;0;0,00157977883096366;0,018957345971564;0;0,004739336492891;0,028436018957346;0,0663507109004739;0;0;0;0;0;0;0;0;0;0,00315955766192733;0;0,0110584518167457;0;0,0505529225908373;0;0;0;0,00315955766192733;0;0;0;0;0;0;0;0;0;0,175355450236967;0;0,104265402843602;0,0157977883096366;0;0,308056872037915;0;0;0,148499210110584;0;0;0,00315955766192733;0,0173775671406004;0;0;0;0;0;0;0;0
"Barboni_a1130";0,0137931034482758;0;0,00689655172413793;0,00517241379310345;0;0,00862068965517242;0,00172413793103448;0,0620689655172414;0;0;0;0,0103448275862069;0;0;0;0;0;0;0;0,00517241379310345;0;0,00344827586206897;0;0;0;0;0;0;0;0;0;0,00172413793103448;0;0;0;0,131034482758621;0;0,0637931034482759;0,0103448275862069;0;0,517241379310345;0,00172413793103448;0;0,136206896551724;0;0;0;0,0206896551724138;0;0;0;0;0;0;0;0
"Barboni_a1131";0,040920716112532;0;0,00127877237851662;0,00639386189258312;0;0;0,0191815856777494;0,0805626598465474;0;0;0,00127877237851662;0,00127877237851662;0;0;0;0;0;0,00767263427109974;0;0;0,00383631713554987;0,00383631713554987;0;0,00255754475703325;0,00127877237851662;0,00127877237851662;0;0;0;0;0;0;0;0;0;0,10613810741688;0;0,112531969309463;0,00895140664961637;0,00255754475703325;0,505115089514066;0;0;0,0690537084398977;0;0;0;0,0140664961636829;0;0;0,00255754475703325;0,00767263427109974;0;0;0;0
"Barboni_a1132";0,0472440944881889;0;0,00984251968503937;0,00984251968503937;0;0,00393700787401575;0,00196850393700787;0,0413385826771654;0;0;0;0,0255905511811024;0;0;0;0;0,00393700787401575;0,0078740157480315;0;0;0;0,0137795275590551;0;0;0;0;0;0;0;0;0;0;0;0;0;0,206692913385827;0;0,161417322834646;0,0078740157480315;0,00984251968503937;0,232283464566929;0;0;0,179133858267716;0,00196850393700787;0;0,00196850393700787;0,0334645669291338;0;0;0;0;0;0;0;0
"Barboni_a1133";0,0351999999999999;0;0,0016;0,00319999999999999;0;0,0048;0,00319999999999999;0,1088;0;0;0;0,008;0;0;0;0;0;0;0;0,0016;0;0,0064;0;0,00319999999999999;0;0,00319999999999999;0;0;0;0;0;0,0048;0;0;0;0,0896;0;0,1216;0,0016;0;0,408;0;0;0,1648;0;0;0,00319999999999999;0,0256;0;0;0,0016;0;0;0;0;0
"Barboni_a1134";0,0526315789473685;0;0,00902255639097745;0,00451127819548872;0;0,00601503759398496;0,00300751879699249;0,0270676691729323;0;0;0;0,00150375939849624;0;0;0;0;0;0,00902255639097745;0;0,00601503759398496;0,00150375939849624;0,00751879699248121;0;0,00601503759398496;0;0,00150375939849624;0;0;0;0;0,00150375939849624;0;0;0;0;0,099248120300752;0;0,142857142857142;0,00902255639097745;0;0,443609022556391;0;0;0,148872180451128;0;0;0,00150375939849624;0,0180451127819549;0;0;0;0;0;0;0;0
"Barboni_a1135";0,0189274447949527;0;0,00473186119873817;0,0205047318611987;0;0,00157728706624606;0,00946372239747634;0,0141955835962145;0,00157728706624606;0;0;0,0173501577287066;0;0;0;0;0;0;0;0,00946372239747634;0;0,00315457413249211;0;0;0;0,0173501577287066;0;0;0;0,00157728706624606;0;0;0;0;0;0,151419558359621;0;0,0615141955835962;0,0157728706624606;0;0,085173501577287;0;0;0,496845425867508;0;0;0;0,0662460567823344;0;0;0,00315457413249211;0;0;0;0;0
"Barboni_a1136";0,0490196078431372;0;0;0,00980392156862744;0;0,00980392156862744;0,00490196078431372;0,0196078431372549;0;0;0;0,0220588235294117;0;0;0;0;0;0,00490196078431372;0;0,0147058823529412;0,00245098039215685;0,00245098039215685;0;0,00245098039215685;0;0,00245098039215685;0;0;0;0;0;0;0;0;0;0,188725490196078;0;0,122549019607843;0,00980392156862744;0;0,0808823529411764;0;0;0,428921568627451;0;0;0,00245098039215685;0,0196078431372549;0;0;0,00245098039215685;0;0;0;0;0
"Barboni_a1137";0,00833333333333334;0;0,00104166666666667;0,009375;0;0;0,00416666666666667;0,00625;0;0;0;0,0104166666666667;0;0;0;0;0;0,003125;0;0,00104166666666667;0;0,00208333333333333;0;0,00104166666666667;0;0,00104166666666667;0;0;0;0;0;0,00208333333333333;0;0;0;0,0802083333333333;0;0,0354166666666666;0,009375;0;0,0416666666666667;0;0;0,776041666666667;0;0;0;0,00729166666666667;0;0;0;0;0;0;0;0
"Barboni_a1138";0,0370370370370371;0;0,00132275132275132;0,0052910052910053;0;0;0,00661375661375661;0,0198412698412698;0;0;0;0,00925925925925926;0;0;0;0;0;0,00793650793650794;0;0,00661375661375661;0,00132275132275132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,105820105820106;0;0,0489417989417989;0,00132275132275132;0;0,041005291005291;0;0;0,694444444444444;0,00132275132275132;0;0;0,0119047619047619;0;0;0;0;0;0;0;0
"Barboni_a1139";0;0;0;0,0180995475113122;0;0,085972850678733;0,217194570135747;0,0950226244343892;0;0;0;0,0226244343891403;0;0;0;0;0;0;0;0,0452488687782805;0;0;0;0,0361990950226243;0;0,0090497737556561;0;0;0;0;0;0,0135746606334842;0;0;0;0,176470588235294;0;0;0,0995475113122172;0;0,0678733031674209;0,00452488687782805;0;0,0678733031674209;0;0,00452488687782805;0;0,0361990950226243;0;0;0;0;0;0;0;0
"Barboni_a1140";0,053864168618267;0;0;0,00702576112412178;0;0,00936768149882903;0,0117096018735363;0,0117096018735363;0;0;0;0,0140515222482436;0;0;0;0;0;0,0140515222482436;0;0,00702576112412178;0,00234192037470725;0,00234192037470725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,107728337236534;0,00936768149882903;0;0,0679156908665106;0;0;0,648711943793911;0,00468384074941452;0;0,00234192037470725;0,0210772833723653;0,00234192037470725;0;0,00234192037470725;0;0;0;0;0
"Barboni_a1141";0,0238693467336683;0;0,00251256281407035;0,00376884422110552;0;0,00125628140703518;0,00125628140703518;0,0050251256281407;0;0;0;0,00628140703517588;0;0;0;0;0;0,00251256281407035;0;0;0,00125628140703518;0,00125628140703518;0;0,00125628140703518;0,00125628140703518;0;0;0;0;0;0;0,00125628140703518;0;0;0;0,139447236180905;0;0,0577889447236181;0,0125628140703518;0,00879396984924623;0,0389447236180905;0;0;0,665829145728643;0,00125628140703518;0;0,00125628140703518;0,0150753768844221;0,00125628140703518;0;0,00376884422110552;0,00125628140703518;0;0;0;0
"Barboni_a1142";0,156889495225102;0;0,00409276944065484;0,00545702592087312;0;0,00136425648021828;0,00272851296043656;0,0068212824010914;0;0;0;0,00545702592087312;0;0;0;0;0;0,0450204638472033;0,00136425648021828;0,00136425648021828;0,00272851296043656;0,00136425648021828;0;0,00272851296043656;0;0;0;0;0;0;0;0;0;0;0,00136425648021828;0,139154160982265;0;0,159618008185539;0,0163710777626194;0;0,0354706684856753;0;0;0,401091405184175;0;0;0,00136425648021828;0,00818553888130968;0;0;0;0;0;0;0;0
"Barboni_a1143";0,0546875;0;0,00111607142857143;0,00223214285714285;0;0;0;0,00558035714285714;0;0;0;0,00446428571428572;0;0;0;0;0,00111607142857143;0,0223214285714285;0;0,00446428571428572;0;0,00223214285714285;0;0,00111607142857143;0,00111607142857143;0;0;0;0;0;0;0,00111607142857143;0;0;0;0,0502232142857143;0;0,0100446428571429;0,00334821428571429;0;0,0078125;0;0;0,825892857142857;0;0;0;0,00111607142857143;0;0;0;0;0;0;0;0
"Barboni_a1144";0,745762711864407;0;0,00338983050847457;0,00564971751412428;0;0,00112994350282486;0;0,00112994350282486;0;0;0;0,00451977401129943;0;0;0;0;0;0,00790960451977401;0;0,00338983050847457;0;0,00112994350282486;0;0,00112994350282486;0;0,00112994350282486;0;0;0;0;0;0;0;0;0;0,063276836158192;0;0,0146892655367232;0,0101694915254237;0;0,00790960451977401;0;0;0,124293785310735;0;0;0;0,00338983050847457;0;0;0;0;0;0;0;0
"Barboni_a1145";0,615126050420169;0;0,00168067226890757;0,0050420168067227;0;0,00336134453781513;0,00336134453781513;0,00336134453781513;0;0;0;0;0;0;0;0;0;0,00168067226890757;0;0,00336134453781513;0,00168067226890757;0,00168067226890757;0;0,00168067226890757;0;0;0;0;0;0,00168067226890757;0;0;0;0;0;0,0689075630252102;0;0,0302521008403362;0,00672268907563025;0;0,038655462184874;0;0;0,194957983193277;0;0;0,00168067226890757;0,0134453781512605;0,00168067226890757;0;0;0;0;0;0;0
