"","Longitude","Latitude","SampleName"
"249",30.4759,37.6618,"Bakker_b53"
"250",30.55078333,37.63006667,"Bakker_b54"
"251",30.55943333,37.62411667,"Bakker_b55"
"252",30.4964,37.64573333,"Bakker_b56"
"253",30.56118333,37.61925,"Bakker_b57"
"254",30.59718333,37.56245,"Bakker_b58"
"255",30.594,37.6279,"Bakker_b59"
"256",30.56458333,37.6217,"Bakker_b60"
"257",30.56413333,37.6205,"Bakker_b61"
"258",30.52878333,37.67591667,"Bakker_b62"
"259",30.58115,37.58416667,"Bakker_b63"
"260",30.40558333,37.56308333,"Bakker_b64"
"261",27.11,44.08,"Barboni_a1"
"262",26.9,44.11,"Barboni_a2"
"263",40.099,37.909,"Barboni_a3"
"274",39.72,38.18,"Barboni_a14"
"285",39.72,38.18,"Barboni_a25"
"296",39.72,38.18,"Barboni_a36"
"307",39.72,38.18,"Barboni_a47"
"318",39.72,38.18,"Barboni_a58"
"329",41.47,38.169,"Barboni_a69"
"340",41.669,38.13,"Barboni_a80"
"351",42.49,37.93,"Barboni_a91"
"362",42.419,37.919,"Barboni_a102"
"373",26.9,44.11,"Barboni_a113"
"374",42.36,37.909,"Barboni_a114"
"385",42.259,37.919,"Barboni_a125"
"396",42.229,37.93,"Barboni_a136"
"407",42.049,38,"Barboni_a147"
"418",41.849,37.979,"Barboni_a158"
"429",37.549,37.75,"Barboni_a169"
"440",37.279,37.88,"Barboni_a180"
"451",39.529,38.5,"Barboni_a191"
"462",39.549,38.47,"Barboni_a353"
"473",39.669,38.4,"Barboni_a364"
"484",26.9,44.11,"Barboni_a375"
"485",39.75,38.279,"Barboni_a376"
"496",40.169,37.979,"Barboni_a387"
"507",40.049,38.069,"Barboni_a398"
"518",39.88,38.18,"Barboni_a409"
"529",39.819,38.2,"Barboni_a420"
"540",41.029,38.5,"Barboni_a431"
"547",11.92569444,43.09236111,"Barboni_a438"
"548",13.40763889,41.28541667,"Barboni_a439"
"549",15.87791667,40.05583333,"Barboni_a440"
"550",15.83638889,40.14333333,"Barboni_a441"
"551",40.5,38.52,"Barboni_a442"
"552",15.60555556,40.93027778,"Barboni_a443"
"553",14.37406389,41.60957222,"Barboni_a444"
"554",11.455,42.48666667,"Barboni_a445"
"555",11.77,42.61194444,"Barboni_a446"
"556",10.00319444,44.43736111,"Barboni_a447"
"557",13.60763889,42.37361111,"Barboni_a448"
"558",15.61305556,40.9325,"Barboni_a449"
"559",13.64527778,42.34638889,"Barboni_a450"
"560",12.1666,42.3333,"Barboni_a451"
"561",12.30138889,42.20638889,"Barboni_a452"
"562",40.5,38.58,"Barboni_a453"
"563",12.84986111,41.68972222,"Barboni_a454"
"564",-2,37.08333333,"Barboni_a455"
"565",-8.666666667,39.1,"Barboni_a456"
"566",-6.533333333,37.11666667,"Barboni_a457"
"567",-5.77,43.52,"Barboni_a458"
"568",-1.537917,43.462778,"Barboni_a459"
"569",8.906,62.5668,"Barboni_a460"
"570",-1.629444,40.531667,"Barboni_a461"
"571",-1.1,43.034,"Barboni_a462"
"572",-1.1,43.034,"Barboni_a463"
"573",40.979,38.77,"Barboni_a464"
"574",-1.1,43.034,"Barboni_a465"
"575",-1.12,43.034,"Barboni_a466"
"576",-1.12,43.034,"Barboni_a467"
"577",-1.12,43.034,"Barboni_a468"
"578",-1.12,43.034,"Barboni_a469"
"579",-1.12,43.034,"Barboni_a470"
"580",-1.12,43.034,"Barboni_a471"
"581",-1.12,43.034,"Barboni_a472"
"582",-1.12,43.034,"Barboni_a473"
"583",-1.12,43.034,"Barboni_a474"
"584",40.43,38.909,"Barboni_a475"
"585",-1.12,43.034,"Barboni_a476"
"586",-1.12,43.034,"Barboni_a477"
"587",-1.12,43.034,"Barboni_a478"
"588",-1.13,43.034,"Barboni_a479"
"589",-1.13,43.034,"Barboni_a480"
"590",-7.483333,43.45,"Barboni_a481"
"591",-4.436111111,43.21555556,"Barboni_a482"
"592",30.05,37.46666667,"Barboni_a483"
"593",-6.813889,42.866667,"Barboni_a484"
"594",-7.111111,42.705556,"Barboni_a485"
"595",26.9,44.11,"Barboni_a486"
"596",40.2,38.869,"Barboni_a487"
