depth	min	max	median	mean
487	18913	19625	19232	19241
488	18917	19627	19236	19245
489	18920	19631	19240	19249
490	18922	19635	19245	19253
491	18925	19641	19249	19256
492	18930	19643	19254	19260
493	18932	19645	19257	19264
494	18935	19649	19262	19268
495	18938	19653	19265	19272
496	18941	19658	19268	19276
497	18944	19663	19272	19280
498	18947	19672	19276	19284
499	18949	19678	19279	19288
500	18952	19690	19283	19292
501	18957	19691	19287	19296
502	18961	19693	19291	19300
503	18965	19697	19295	19304
504	18969	19700	19300	19308
505	18973	19703	19303	19312
506	18978	19707	19307	19316
507	18981	19711	19311	19320
508	18984	19716	19316	19324
509	18990	19722	19321	19328
510	18992	19726	19325	19332
511	18996	19729	19329	19336
512	18999	19735	19334	19340
513	19002	19739	19337	19344
514	19007	19746	19341	19348
515	19009	19752	19344	19352
516	19012	19757	19348	19356
517	19015	19761	19352	19360
518	19018	19766	19356	19365
519	19021	19770	19359	19369
520	19024	19777	19362	19373
521	19028	19779	19367	19376
522	19033	19781	19371	19380
523	19036	19788	19375	19384
524	19042	19790	19379	19388
525	19044	19792	19384	19392
526	19047	19796	19388	19396
527	19052	19800	19392	19400
528	19054	19804	19397	19403
529	19056	19808	19401	19407
530	19059	19811	19405	19411
531	19061	19814	19409	19415
532	19064	19816	19412	19419
533	19067	19820	19416	19423
534	19070	19824	19421	19426
535	19072	19827	19426	19430
536	19076	19831	19429	19434
537	19079	19835	19433	19438
538	19083	19840	19436	19442
539	19086	19847	19440	19446
540	19088	19855	19444	19450
541	19094	19856	19448	19453
542	19097	19859	19452	19457
543	19100	19861	19456	19461
544	19102	19864	19459	19465
545	19106	19869	19463	19469
546	19108	19872	19465	19473
547	19112	19874	19470	19476
548	19116	19881	19475	19480
549	19119	19887	19478	19484
550	19123	19891	19482	19488
551	19129	19898	19486	19492
552	19131	19899	19490	19496
553	19134	19907	19493	19500
554	19136	19912	19497	19503
555	19139	19917	19501	19507
556	19142	19920	19504	19511
557	19144	19926	19508	19515
558	19147	19931	19511	19519
559	19148	19937	19515	19523
560	19151	19942	19519	19526
561	19154	19946	19523	19530
562	19156	19949	19527	19534
563	19159	19952	19532	19538
564	19164	19956	19536	19542
565	19172	19961	19539	19546
566	19177	19965	19544	19549
567	19180	19967	19548	19553
568	19183	19971	19552	19557
569	19187	19976	19556	19561
570	19192	19979	19560	19565
571	19194	19985	19563	19568
572	19197	19990	19567	19572
573	19199	19994	19570	19576
574	19203	19995	19574	19580
575	19209	20001	19578	19584
576	19213	20006	19581	19588
577	19216	20010	19585	19591
578	19217	20016	19589	19595
579	19220	20021	19592	19599
580	19223	20025	19597	19603
581	19228	20032	19601	19607
582	19232	20035	19605	19611
583	19236	20037	19609	19615
584	19241	20040	19614	19619
585	19245	20045	19618	19623
586	19249	20047	19621	19627
587	19251	20051	19625	19631
588	19253	20057	19628	19635
589	19255	20061	19633	19639
590	19263	20067	19637	19643
591	19266	20071	19641	19646
592	19268	20074	19643	19650
593	19269	20078	19647	19654
594	19271	20081	19652	19658
595	19275	20083	19657	19662
596	19276	20085	19659	19666
597	19279	20088	19665	19670
598	19282	20091	19668	19674
599	19287	20095	19672	19678
600	19289	20098	19675	19682
601	19292	20102	19680	19686
602	19299	20105	19684	19690
603	19303	20110	19688	19694
604	19307	20114	19691	19697
605	19309	20119	19695	19701
606	19313	20123	19700	19705
607	19316	20128	19703	19709
608	19317	20132	19707	19713
609	19321	20137	19710	19717
610	19323	20143	19714	19721
611	19326	20149	19719	19724
612	19328	20150	19723	19728
613	19332	20152	19726	19732
614	19336	20152	19730	19736
615	19340	20162	19733	19740
616	19343	20166	19738	19744
617	19346	20171	19741	19747
618	19349	20177	19744	19751
619	19351	20183	19748	19755
620	19353	20187	19752	19759
621	19359	20190	19756	19763
622	19363	20193	19758	19767
623	19366	20196	19761	19770
624	19369	20199	19766	19774
625	19372	20206	19770	19778
626	19379	20209	19774	19782
627	19383	20212	19778	19786
628	19387	20215	19782	19789
629	19390	20219	19787	19793
630	19394	20223	19790	19797
631	19400	20230	19793	19801
632	19403	20236	19797	19805
633	19406	20242	19801	19808
634	19408	20248	19805	19812
635	19411	20253	19810	19816
636	19416	20257	19813	19820
637	19420	20266	19818	19824
638	19423	20273	19821	19828
639	19428	20277	19824	19831
640	19431	20282	19828	19835
641	19435	20285	19831	19839
642	19439	20287	19835	19843
643	19442	20287	19840	19847
644	19445	20290	19843	19851
645	19449	20291	19847	19855
646	19453	20293	19851	19859
647	19457	20296	19854	19863
648	19459	20302	19858	19867
649	19463	20305	19863	19871
650	19468	20310	19867	19875
651	19472	20319	19871	19879
652	19476	20323	19876	19883
653	19479	20327	19881	19887
654	19483	20332	19885	19891
655	19486	20336	19888	19895
656	19490	20340	19893	19899
657	19494	20347	19898	19902
658	19498	20351	19902	19906
659	19503	20357	19905	19910
660	19508	20363	19909	19914
661	19512	20366	19913	19918
662	19516	20370	19918	19922
663	19519	20373	19921	19926
664	19521	20374	19926	19930
665	19525	20375	19930	19934
666	19529	20378	19933	19938
667	19533	20384	19937	19942
668	19536	20390	19941	19946
669	19539	20396	19944	19950
670	19542	20399	19948	19954
671	19546	20401	19952	19957
672	19549	20405	19956	19961
673	19552	20407	19960	19965
674	19554	20413	19964	19969
675	19556	20416	19968	19973
676	19560	20418	19971	19977
677	19563	20422	19975	19981
678	19566	20427	19979	19985
679	19568	20430	19984	19989
680	19573	20432	19987	19993
681	19576	20437	19992	19997
682	19582	20440	19995	20001
683	19586	20445	19999	20005
684	19589	20449	20003	20009
685	19593	20454	20007	20012
686	19596	20460	20011	20016
687	19598	20466	20015	20020
688	19602	20467	20019	20024
689	19606	20472	20022	20028
690	19607	20476	20026	20032
691	19610	20481	20030	20036
692	19614	20485	20034	20040
693	19617	20493	20037	20044
694	19618	20500	20040	20048
695	19623	20506	20044	20052
696	19626	20507	20048	20056
697	19626	20511	20052	20060
698	19628	20514	20058	20064
699	19632	20519	20062	20068
700	19635	20524	20065	20072
701	19638	20528	20069	20076
702	19641	20532	20073	20080
703	19645	20536	20076	20084
704	19649	20538	20080	20088
