;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
104;X14385.749143811;14385,74914;-4,548;3,568023583;428,8;273,6068638;19;4,267604863;-28,48;5,96440057;5935,8;4309,77773
105;X14585.5412338758;14585,54123;-5,018;3,626140145;270,2;251,8486328;20,2;4,356169051;-31,02;6,185532527;3364,4;3911,386333
106;X14777.7970248268;14777,79702;-5,488;3,71429678;242;247,275324;19,78;4,440905711;-31,34;6,150901086;3059,2;3802,015
107;X14957.4215619922;14957,42156;-5,488;3,652801928;242;244,7483866;19,78;4,498569234;-31,34;5,868712214;3059,2;3767,788581
108;X15154.9266148026;15154,92661;-5,106;3,665866424;283,6;245,6455957;20,66;4,462211028;-31,64;6,021803178;3535;3776,430618
109;X15291.2771280905;15291,27713;-4,444;3,612391445;293,4;245,8454047;20,98;4,372734964;-31,84;5,953372055;3622,6;3781,516542
110;X15510.813390548;15510,81339;-5,018;3,561643604;270,2;244,9817952;20,2;4,37569992;-31,02;5,879054712;3364,4;3772,672904
111;X15713.8793156951;15713,87932;-5,018;3,577547709;270,2;245,5988907;20,2;4,375754118;-31,02;5,832907422;3364,4;3803,895367
112;X15910.8544877868;15910,85449;-4,37;3,549611057;277,4;245,4234079;20,64;4,353116824;-31,08;5,912037158;3416,2;3776,159874
113;X16043.8796029143;16043,8796;-5,414;3,526883409;226;243,9487533;19,44;4,313164145;-30,58;5,803636384;2852,8;3761,607085
114;X16262.9007489975;16262,90075;-5,414;3,512260503;226;242,7372635;19,44;4,302914118;-30,58;5,799517713;2852,8;3750,967494
115;X16436.072159932;16436,07216;-4,752;3,500217395;235,8;242,7363066;19,76;4,305640824;-30,78;5,80807996;2940,4;3751,969121
116;X16632.4922295861;16632,49223;-4,726;3,508398625;237,8;242,6869921;18,6;4,249995774;-29,52;5,770812071;3025,6;3751,082604
117;X16805.9928187526;16805,99282;-5,89;3,621597018;238,2;242,6548865;17,74;4,335165872;-29,2;5,732003218;3210,2;3756,838044
118;X16981.4163472762;16981,41635;-5,262;3,553816578;248,8;245,0186276;18,32;4,218141609;-28,98;5,743311962;3261,6;3771,551217
119;X17167.6470365101;17167,64704;-4,424;3,683608879;283,2;246,057028;18,78;4,271789966;-28,08;5,792667892;3687,8;3789,504465
120;X17339.1256797115;17339,12568;-4,926;3,61190635;295,6;245,5727502;18,94;4,312145388;-29,52;5,786913916;3813,4;3773,211868
121;X17539.845588187;17539,84559;-4,926;3,761496884;295,6;247,5473477;18,94;4,295988703;-29,52;6,260641249;3813,4;3793,403743
122;X17736.7501585729;17736,75016;-4,926;3,72953426;295,6;247,9063856;18,94;4,275823525;-29,52;6,136213926;3813,4;3795,014762
123;X17911.4408900941;17911,44089;-4,43;3,706949569;275,2;247,8064837;19,52;4,269040679;-29,64;6,256289563;3456,8;3799,438818
124;X18112.2545647831;18112,25456;-4,37;3,790257007;277,4;248,4177376;20,64;4,324586793;-31,08;6,52728829;3416,2;3795,900952
125;X18285.973867483;18285,97387;-4,37;3,563977295;277,4;245,4512366;20,64;4,301393143;-31,08;5,986418588;3416,2;3779,029726
126;X18473.3283710656;18473,32837;-0,032;5,198289965;251,4;253,1581519;22,82;5,02507943;-23,58;8,045687911;2989,2;3847,810685
127;X18603.0513784216;18603,05138;-4,37;3,937453537;277,4;248,5853845;20,64;4,388940991;-31,08;6,790894021;3416,2;3803,174073
128;X18769.3857305474;18769,38573;-4,37;3,587167067;277,4;247,8992837;20,64;4,359774179;-31,08;6,079053173;3416,2;3805,115208
129;X18937.5113723675;18937,51137;-2,8;3,872891762;319,8;247,8904734;22,1;4,405440223;-28,86;6,595174379;3735;3792,887929
130;X19092.6821594438;19092,68216;-4,926;3,567258778;295,6;245,0339863;18,94;4,322435914;-29,52;5,813260642;3813,4;3774,452474
131;X19242.7362519914;19242,73625;-3,528;3,648152697;333,4;245,1642994;19,8;4,31188199;-28,56;5,816498485;4257,8;3776,119763
132;X19392.7326520001;19392,73265;-3,528;3,619907327;333,4;245,2265051;19,8;4,26775359;-28,56;5,93015785;4257,8;3778,808386
133;X19578.3652995015;19578,3653;-3,528;3,631045868;333,4;245,4360685;19,8;4,340524878;-28,56;5,800505702;4257,8;3772,921102
134;X19727.6052924122;19727,60529;-3,528;3,62404968;333,4;245,3821345;19,8;4,30895221;-28,56;5,795045082;4257,8;3773,032521
135;X19900.698851227;19900,69885;-4,926;3,586613414;295,6;245,1687844;18,94;4,31025617;-29,52;5,804919116;3813,4;3772,679636
136;X20070.6059304927;20070,60593;-4,926;3,592327667;295,6;244,9188396;18,94;4,333970458;-29,52;5,81318241;3813,4;3772,801966
137;X20202.8402503875;20202,84025;-4,926;3,55571292;295,6;245,1944311;18,94;4,297384608;-29,52;5,788861005;3813,4;3773,934508
138;X20352.7079237648;20352,70792;-4,37;3,550970155;277,4;245,1020819;20,64;4,321971006;-31,08;5,835224207;3416,2;3772,453073
139;X20524.3237455967;20524,32375;-4,37;3,546523378;277,4;245,0583505;20,64;4,322359393;-31,08;5,822566615;3416,2;3771,329213
140;X20718.99873674;20718,99874;-4,37;3,552542859;277,4;245,7789575;20,64;4,34498265;-31,08;5,861057464;3416,2;3805,441164
141;X20833.7923340944;20833,79233;-5,138;3,551173432;270,6;247,6739457;18,94;4,30030191;-29,68;5,752242386;3445,2;3825,978335
142;X21005.5595977368;21005,5596;-4,37;3,547687125;277,4;245,5664619;20,64;4,331886693;-31,08;5,898887809;3416,2;3780,221326
143;X21174.5680131002;21174,56801;-1,798;3,187719082;325;222,0100402;22,38;4,584138941;-26,04;6,192232049;3449,2;3386,444426
144;X21345.9915577109;21345,99156;-4,444;3,587750113;293,4;248,2049686;20,98;4,337035944;-31,84;6,098605338;3622,6;3799,56302
145;X21519.9811771466;21519,98118;-4,444;3,55121914;293,4;245,2602712;20,98;4,385578795;-31,84;5,817694921;3622,6;3774,850587
146;X21655.0421250456;21655,04213;-3,472;3,917407516;283,4;244,7686761;21,6;4,535791502;-29,28;6,371161903;3293,2;3758,822929
147;X21826.7634852217;21826,76349;-4,092;3,829463143;294,6;245,3852616;22,34;4,496652331;-32,2;6,333056469;3571;3770,622437
148;X21999.7363882949;21999,73639;-2,972;3,87541519;285,8;245,9621342;23,14;4,516986122;-29,66;6,276283065;3235;3766,972421
149;X22155.321587197;22155,32159;-1,17;4,020620485;305;245,9820952;24,7;4,533626679;-26,82;6,596085008;3171;3760,583937
150;X22325.3771805581;22325,37718;-5,106;3,685642733;283,6;247,7420505;20,66;4,454551196;-31,64;5,871106285;3535;3811,060589
151;X22452.5364387838;22452,53644;-4,444;3,526099209;293,4;245,3531219;20,98;4,360656435;-31,84;5,856435373;3622,6;3780,639431
152;X22619.4181511883;22619,41815;-4,37;3,514413047;277,4;245,5118335;20,64;4,317684511;-31,08;5,819118355;3416,2;3777,360582
153;X22789.6106350907;22789,61064;-4,926;3,556242636;295,6;245,2415879;18,94;4,282526734;-29,52;5,802013625;3813,4;3775,234663
154;X22934.1850512494;22934,18505;-4,37;3,528334613;277,4;245,413191;20,64;4,297600519;-31,08;5,816498533;3416,2;3776,907741
155;X23078.7773084419;23078,77731;-4,37;3,543692511;277,4;245,5610213;20,64;4,321253711;-31,08;5,819274727;3416,2;3777,277203
156;X23244.1113195811;23244,11132;-4,37;3,548214309;277,4;245,6192378;20,64;4,384503463;-31,08;5,844851277;3416,2;3777,348517
