"";"X";"X2";"optima";"mean";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"mean.1";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"mean.2";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"mean.3";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3";"mean.4";"X0.5_inf.4";"X0.5_sup.4";"X0.95_inf.4";"X0.95_sup.4"
"358";358;57109,63305;3,433433433;3,413384682;-0,770770771;7,497497497;-8,758758759;15,62562563;526,4766634;348,3483483;560,5605606;220,2202202;892,8928929;22,24716064;18,82882883;25,58558559;12,37237237;32,19219219;-11,96288864;-19,36936937;-4,414414414;-33,96396396;10;4605,466908;2932,932933;5924,524525;293,2932933;8564,164164
"359";359;57251,12021;3,433433433;3,443160449;-0,630630631;7,497497497;-8,618618619;15,62562563;599,156368;360,3603604;628,6286286;212,2122122;1077,077077;21,09350399;17,47747748;24,83483483;10,12012012;32,19219219;-11,34072246;-18,64864865;-3,873873874;-33,24324324;10,54054054;5469,848044;3226,226226;7097,697698;0;10265,26527
"360";360;57427,97916;3,433433433;3,4721442;-0,49049049;7,497497497;-8,478478478;15,34534535;771,3324207;392,3923924;784,7847848;204,2042042;1525,525526;19,20949363;15,07507508;23,48348348;6,666666667;31,74174174;-10,72701654;-18,10810811;-3,333333333;-32,52252252;10,9009009;10278,12774;5924,524525;13315,51552;0;19416,01602
"361";361;57589,67877;3,293293293;3,343704384;-0,630630631;7,357357357;-8,478478478;15,20520521;777,479546;396,3963964;792,7927928;208,2082082;1533,533534;19,09391488;14,92492492;23,33333333;6,516516517;31,59159159;-10,83040201;-18,10810811;-3,513513514;-32,34234234;10,72072072;10297,37868;5983,183183;13374,17417;0;19474,67467
"362";362;57771,59083;3,293293293;3,22477272;-0,630630631;7,217217217;-8,338338338;14,78478478;770,9458508;392,3923924;784,7847848;200,2002002;1525,525526;19,12640754;14,92492492;23,18318318;6,816816817;31,44144144;-11,13017666;-18,28828829;-3,873873874;-32,34234234;10;10353,17616;5924,524525;13432,83283;0;19650,65065
"363";363;57908,02488;3,573573574;3,548180337;-0,35035035;7,357357357;-7,917917918;14,92492492;767,8488311;388,3883884;780,7807808;200,2002002;1517,517518;19,19886933;14,77477477;23,48348348;6,366366366;32,04204204;-10,46379593;-17,74774775;-3,153153153;-31,8018018;10,9009009;9323,730414;5161,961962;12083,68368;0;17890,89089
"364";364;58089,93694;3,433433433;3,502431717;-0,35035035;7,357357357;-7,917917918;14,78478478;659,8919822;372,3723724;684,6846847;208,2082082;1229,229229;20,62161875;16,72672673;24,53453453;9,069069069;32,04204204;-10,95468854;-18,10810811;-3,873873874;-31,8018018;9,81981982;6368,367661;3578,178178;8270,870871;0;12142,34234
"365";365;58266,79589;3,573573574;3,621825619;-0,21021021;7,497497497;-7,777777778;14,92492492;779,1955873;392,3923924;792,7927928;200,2002002;1545,545546;19,62978316;15,37537538;23,93393393;7,117117117;32,19219219;-10,4762333;-17,56756757;-3,513513514;-31,26126126;10,18018018;10242,73364;5807,207207;13315,51552;0;19474,67467
"366";366;58448,70795;7,927927928;7,946836988;4,624624625;11,23123123;-1,831831832;17,68768769;796,2658093;420,4204204;815,6156156;227,027027;1542,942943;21,99653607;17,11711712;27,02702703;7,387387387;36,57657658;-3,455721481;-9,089089089;2,132132132;-20,12012012;13,16316316;9174,605883;5002,502503;11894,19419;-100;17725,62563
"367";367;58610,40756;3,713713714;3,746067557;-0,49049049;7,917917918;-8,618618619;16,04604605;535,2420463;332,3323323;564,5645646;200,2002002;940,9409409;22,09729648;18,37837838;25,73573574;11,17117117;33,09309309;-11,17297456;-18,82882883;-3,513513514;-33,78378378;11,26126126;4735,740123;2815,615616;6100,500501;58,65865866;8857,457457
