;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
53;X22240.5784554482;22240,57846;5,276;3,56966291;728,8;257,367524;16,8;5,283773528;-13,8;6,448133049;9712;4148,302237
54;X22434.8941592623;22434,89416;7,182;2,460513767;602,8;249,1309622;19,68;4,948108344;-12,02;6,516179065;7256,6;3878,700037
55;X22777.1588813782;22777,15888;-1,568;4,497995076;397,4;273,4243343;19,26;4,475605183;-22,98;7,002371307;5003,4;4134,271076
56;X23017.6950489522;23017,69505;3,474;4,218787911;475,4;275,8846443;19,66;4,710837351;-27,58;7,403038823;6490;4217,857518
57;X23268.4540111333;23268,45401;-1,31;4,013027549;397,4;271,8017089;19,26;4,510774968;-22,98;7,432554205;5003,4;4101,143063
58;X23514.4820826246;23514,48208;8,988;2,672056645;942;302,2399417;22,06;4,483376214;-6,68;6,300232156;11066,2;4316,227851
59;X23798.2593758121;23798,25938;7,51;2,508410295;977,6;316,9542467;21,58;4,38669749;-4,02;5,939484376;11891,2;4463,392275
60;X24036.4963084434;24036,49631;7,606;2,370034828;727;285,3243661;20,64;4,425601033;-13,02;7,312410349;8958,4;4258,67651
61;X24131.6886077434;24131,68861;7,474;2,429562598;1005;314,3957288;22,06;4,399922011;-3,84;5,984303027;12122,4;4429,03522
62;X24317.5532574424;24317,55326;7,51;2,495326691;1005,4;325,0308375;20,8;4,526368273;-8,26;6,401865393;11845,8;4530,718329
63;X24798.5729832989;24798,57298;7,754;2,511581498;768,2;290,6605853;19,46;4,550734155;-14,66;7,051319995;9420,4;4232,56649
64;X25014.4302812811;25014,43028;7,51;2,555122396;977,6;314,7083379;22,58;4,490703415;-5,7;6,312359342;11329,2;4440,669265
65;X25235.6098623359;25235,60986;7,474;2,433142463;807;291,484053;21,72;4,447821925;-7,48;7,156112803;9743;4206,242584
66;X25584.0291306496;25584,02913;7,754;2,528698012;623,6;319,2802293;20,3;4,487238173;-19,5;7,890644501;7271,2;4455,98695
67;X25866.5925598476;25866,59256;7,754;2,528147563;942;318,5450026;22,06;4,51203321;-6,68;6,264066838;11066,2;4447,224072
68;X26288.7572836309;26288,75728;7,754;2,609630741;790,4;299,1327717;19,38;4,527548309;-14,6;7,260707883;9738;4226,097229
69;X26643.9719125346;26643,97191;7,87;3,22075865;587,4;266,1262158;20,5;4,600924299;-20,26;6,8938089;7827,6;4161,289811
70;X26992.2885444217;26992,28854;7,886;2,465932685;541,6;279,72625;17,4;4,950737888;-22,76;7,312183696;8033,2;4145,393421
71;X27339.5770304768;27339,57703;0,958;4,569845953;618,6;272,9131801;17,2;4,468794988;-21,2;6,911754086;7802,4;4031,704127
72;X27688.112756273;27688,11276;-5,082;4,624296781;511,4;272,926182;19,64;4,669314253;-24,88;6,594232959;6933,6;4249,686045
73;X27981.7465426154;27981,74654;0,846;4,624220897;892,2;293,7636368;18,22;4,732919183;-10,78;7,605661044;11556,8;4341,514763
74;X28055.154989201;28055,15499;5,884;4,013647444;545,8;275,4937804;19;4,476266026;-21,58;6,905836033;7406,4;4267,65008
75;X28478.8748592716;28478,87486;0,846;4,726940038;848,6;305,0768755;16,7;4,758165875;-16,72;7,649846399;11947,4;4750,114971
76;X28775.3218064366;28775,32181;-5,626;2,869796574;511,4;271,556347;19,64;4,516226664;-24,88;6,089109212;6933,6;4206,321404
77;X29184.6237719093;29184,62377;5,9;3,197628809;545,8;271,3505874;19;4,544399505;-21,58;7,141936643;7406,4;4298,741918
78;X29386.1460229874;29386,14602;-0,982;4,861627068;609,2;279,8815887;17,74;4,49247631;-23,16;6,521185415;8186;4202,28782
79;X29726.3659263871;29726,36593;1,07;4,817004477;502,4;258,1137085;21,02;4,597323011;-20;6,895339821;6205;3982,941647
80;X30162.4147598514;30162,41476;0,846;4,691020601;595;267,5426594;20,3;4,679842951;-24,92;6,833205355;8111,2;4456,579376
81;X30515.2133294801;30515,21333;1,954;4,34686958;397,4;274,8303531;19,26;4,525470505;-22,98;7,070233623;5003,4;4167,625606
82;X31008.7500466085;31008,75005;4,368;4,043064155;400;260,9803239;17,74;5,034998422;-27,16;6,336240764;6802,4;4286,979433
83;X31218.5679286025;31218,56793;0,846;4,90718701;530;277,1796418;17,88;4,908107819;-26,08;6,924133472;8859,6;4310,795522
84;X31423.8131606355;31423,81316;-4,504;4,174641007;511,4;277,5260095;19,64;4,504356455;-24,88;6,088372398;6933,6;4285,66464
85;X31823.1241355675;31823,12414;0,846;4,707371944;658,2;306,5093245;18,56;4,525141839;-16,84;7,999379622;8905,4;4693,198772
86;X31923.8502347465;31923,85023;-0,982;4,682472761;382;255,4087948;20,04;4,51438762;-25,8;6,071445716;4853;3906,80526
87;X32213.5772163682;32213,57722;0,858;4,480534029;453,4;276,5440701;19,9;4,572328145;-24,48;6,471825336;5751;4703,635246
88;X32413.8293843033;32413,82938;0,992;3,150822119;404,6;289,4021861;18,46;4,417628514;-25,52;6,32518494;5308,8;4000,40498
89;X32650.7657016918;32650,7657;0,846;4,563641733;415,2;261,0228124;18,8;4,423256898;-25,74;6,157144797;5348;3986,817769
90;X32844.0242112975;32844,02421;-3,396;4,206308961;496,8;272,8942538;17,88;4,405789548;-26,06;6,116304182;6952,4;4187,741438
91;X32961.024048822;32961,02405;4,192;3,577442705;595;268,0549836;20,3;4,627450819;-24,92;6,260660003;8111,2;4274,519081
92;X33155.2636516085;33155,26365;2,54;4,411747179;382;269,4988333;20,04;4,660311227;-25,8;6,206624456;4853;4354,169672
93;X33389.9154340026;33389,91543;0,958;4,796857682;587,4;267,9193751;20,5;4,533783526;-20,26;6,917068922;7827,6;4166,783189
94;X33613.128627031;33613,12863;3,534;4,046816212;578,4;299,0475292;16,46;4,602101226;-23,62;6,685798964;9424,8;4997,287627
95;X33721.6630650323;33721,66307;0,958;4,72134807;507;279,7120363;18,6;4,626560287;-23,1;6,491274959;6433,4;4240,493688
96;X33923.7166465457;33923,71665;4,48;4,429977741;506;260,0489365;21,5;4,91580038;-16,86;7,25916259;6212,4;4159,311716
97;X34048.8803247025;34048,88032;-2,564;5,218742818;609,2;308,2913442;17,44;4,589964872;-21,32;7,738730684;8451,4;4559,40075
98;X34215.5619293812;34215,56193;0,982;3,80811523;411,8;257,1812937;18,4;4,447690783;-25,8;6,167917116;5329,8;3895,108762
99;X34338.9800566643;34338,98006;-3,1;4,34616507;568,8;269,5016003;18,28;4,442169579;-24,58;6,076645672;7827;4156,12818
