NameCal;Loc.Longitude;Loc.Latitude;Abies;Acer campestre-type;Caryophyllaceae (periporate excl. Paronychioideae);Castanea sativa;Chenopodiaceae/Amaranthaceae;Hippophae rhamnoides;Sanguisorba minor-type;Asteraceae;Betula;Campanulaceae;Caprifoliaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Castanea.sativa;Celtis;Chenopodiaceae.Amaranthaceae;Convolvulaceae;Corylus;Cotinus;Crassulaceae;Cyperaceae;Ephedra;Euptelea;Fraxinus;Gentianaceae;Geraniaceae;Hippophae.rhamnoides;Humulus;Juglans;Larix;Leguminosae;Moraceae;Nitraria;Oleaceae;Ostryopsis;Picea;Pinus;Plantaginaceae;Poaceae;Polygala;Polygonum;Populus;Primulaceae;Quercus;Ranunculaceae;Rhamnaceae;Rhus;Rosaceae;Rubiaceae;Rutaceae;Salix;Sanguisorba.minor.type;Scrophulariaceae;Solanaceae;Stellera;Syringa;Tamarix;Thalictrum;Tilia;Tsuga;Ulmus;Urtica;Valerianaceae;Verbenaceae
AlbaSanchez_a49;-5,103634;35,259856;21,375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9375;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a50;-5,216593;35,184338;4,763157895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a51;-4,50827;34,904032;0;0;0;0;0,209219858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a52;-4,617827;34,909996;0;0;0;0;0;0;0;0,166666667;0;0;0;0;0,333333333;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a53;-4,653223;34,896955;0;0;0;0;0;0;0;0,157894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,486842105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a54;-4,536485;34,907986;0;0;0;0;0;0;0;0;0;0;0;0;0,328947368;0;0;0,328947368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,447368421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a55;-4,611571;34,849704;0;0;0;0;0;0;0;0;0;0;0;0;0,33557047;0;0;0,33557047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17114094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a57;-4,532196;34,840495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,162251656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a58;-4,761091;34,976196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,664451827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,490033223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a59;-4,820689;34,992855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,336700337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,846801347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a60;-4,871389;34,996671;0;0;0;0;0,5;0;0;0,5;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a61;-5,148185;35,142129;33,82343234;0;0;0;0,160066007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,810231023;0;0;0;0;0;0;0;0;0;0,160066007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a62;-5,152082;35,141913;2,855704698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,506711409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a63;-5,151044;35,139146;10,02631579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,328947368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,157894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a64;-5,303285;35,347574;0;0;0;0;0;0;0;7,608108108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a65;-5,294552;35,346624;0,503344482;0;0;0;0;0;0;1,172240803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a66;-5,292949;35,345739;0;0;0;0;0;0;0;0,206713781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a67;-4,435739;34,819963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a68;-4,46209;34,812419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,334448161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,175585284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a69;-4,298583;34,848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a70;-4,321148;34,859132;0;0;0;0;0;0;0;0;0;0;0;0;0,323624595;0;0;0,323624595;0;0;0;0;0;0;0;0;0;0;0;0;0,147249191;0;0;0;0;0;0;0;0;0;2,088996764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a71;-4,328126;34,888293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a72;-5,207276;33,424301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a73;-5,240169;33,39468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a74;-5,468365;32,956078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,986842105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,157894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a75;-5,337213;33,1899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,324503311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
