"";"Abies";"Acer campestre-type";"Alnus";"Apiaceae";"Artemisia";"Betula";"Campanulaceae";"Carpinus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fraxinus";"Hippophae rhamnoides";"Picea";"Pinus";"Plantaginaceae";"Poaceae";"Polygonum";"Populus";"Quercus";"Rosaceae";"Rubiaceae";"Salix";"Thalictrum";"Tilia";"Ulmus"
"Bjune_a284";0;0;1,094391245;0;0,136798906;52,12038304;0;0;0;0;0,136798906;0,957592339;0;0;1,094391245;16,41586867;0;6,566347469;0;0;0,136798906;0;0;1,641586867;0,547195622;0;0,136798906
"Bjune_a285";0;0;2,070645554;0,365408039;0;25,21315469;0;0;0;0,12180268;0;0,12180268;0;0;8,647990256;29,3544458;0;5,481120585;0;0;0,487210719;0;0;2,192448234;0;0;0,243605359
"Bjune_a286";0;0;1,594896332;0;0,159489633;32,6953748;0;0;0;0,159489633;0;0;0;0;10,36682616;41,78628389;0;3,03030303;0;0;0,4784689;0;0;0,159489633;0,318979266;0;0,318979266
"Bjune_a287";0;0;2,604166667;0;0,694444444;24,13194444;0;0;0;0;0;0,868055556;0;0;9,895833333;32,46527778;0;5,555555556;0;0;0,173611111;0;0;0,347222222;0,347222222;0;0,173611111
"Bjune_a288";0;0;7,334273625;0;0,282087447;23,55430183;0;0;0;0,141043724;0,282087447;0;0;0;24,40056417;11,70662906;0;5,782792666;0;0;0,564174894;0;0;0,423131171;0;0;0,282087447
"Bjune_a289";0;0;4,841402337;0;0,333889816;31,71953255;0;0;0;0,834724541;0,166944908;0;0;0;12,68781302;24,37395659;0;8,013355593;0;0,333889816;0;0,166944908;0,333889816;1,168614357;0;0;0
"Bjune_a290";0;0;12,88244767;0;0;26,40901771;0;0;0;0;1,288244767;0;0;0;5,475040258;12,39935588;0;2,415458937;0;0;1,610305958;0;0;0,644122383;0;0,644122383;0,322061192
"Bjune_a291";0;0;5,829015544;0;0,129533679;26,55440415;0;0;0;0;0,388601036;0;0;0;20,20725389;27,97927461;0;3,626943005;0;0;0,647668394;0;0;1,165803109;0;0;0
"Bjune_a292";0;0;6,231454006;0;0,148367953;40,35608309;0;0,148367953;0;0,445103858;0,296735905;0;0;0;9,792284866;27,59643917;0;3,709198813;0;0,445103858;0,890207715;0,148367953;0;0,741839763;0;0;0
"Bjune_a293";0;0;6,436420722;0;0,470957614;35,00784929;0;0;0;0;0,313971743;0,156985871;0;0;9,89010989;26,37362637;0;5,180533752;0;0,156985871;0,627943485;0,156985871;0;0;0;0,313971743;0,313971743
"Bjune_a294";0;0;4,854368932;0;0;22,81553398;0;0;0;0;0,161812298;0;0;0;8,737864078;42,39482201;0;3,236245955;0;0,323624595;0,647249191;0;0;0,323624595;0;0,161812298;0,323624595
"Bjune_a295";0;0;5,975395431;0;0;33,56766257;0;0;0;0;0,175746924;0,351493849;0;0;7,732864675;25,13181019;0;7,205623902;0;0,175746924;0,702987698;0;0,175746924;0,351493849;0;0;0
"Bjune_a296";0;0;1,98019802;0;0,165016502;25,90759076;0;0;0;0;0,330033003;0;0;0;18,31683168;26,73267327;0;6,600660066;0;0;0,165016502;0,165016502;0;1,320132013;0;0;0,330033003
"Bjune_a297";0;0;3,587443946;0,149476831;0,149476831;35,12705531;0;0;0;0;0,149476831;0;0;0;5,082212257;22,27204783;0;3,437967115;0;0,149476831;1,644245142;0;0;0,298953662;0;0,149476831;0,149476831
"Bjune_a298";0;0;8,98021309;0;0,304414003;29,5281583;0;0,152207002;0;0,304414003;1,522070015;0;0;0;3,95738204;31,65905632;0;5,479452055;0;0,761035008;2,283105023;0;0;0;0;0,456621005;0
"Bjune_a299";0;0;4,36187399;0;0;19,54765751;0;0;0;0;0,484652666;1,453957997;0;0;0,323101777;33,27948304;0;8,077544426;0;0;0,323101777;0;0;0,484652666;0;0,161550889;0,323101777
"Bjune_a300";0;0;1,330108827;0;0,120918984;49,69770254;0;0;0;0;0,120918984;0,967351874;0;0;0,604594921;25,51390568;0;3,990326481;0;0;0;0;0;0,604594921;0,241837969;0;0
"Bjune_a301";0;0;0,220264317;0;0;13,65638767;0;0;0;0;0,220264317;4,625550661;0;0;0;2,863436123;0;4,845814978;0;0;0;0;0;0,220264317;0;0;0
"Bjune_a302";0;0;0,384615385;0;0;19,42307692;0;0;0;0;0,384615385;7,692307692;0;0;0,192307692;14,03846154;0;8,076923077;0;0;0;0;0,192307692;0,576923077;0,192307692;0;0
"Bjune_a303";0;0;0,143163923;0,143163922;0,071581961;5,583392985;0;0;0,214745884;0;0,143163923;13,02791696;0;0;0,071581961;10,80887616;0;4,223335719;0;0;0;0;0;0,715819613;0,357909807;0;0
