;Abies;Alnus;Apiaceae;Armeria.type;Artemisia;Asteraceae;Betula;Boraginaceae;Botrychium;Brassicaceae;Calluna.vulgaris;Campanulaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Cedrus;Centaurea;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagaceae;Fagus;Filipendula;Hedera;Helianthemum;Hippophae.rhamnoides;Juniperus;Picea;Pinus;Plantago;Plantago.lanceolata.type;Poaceae;Polygonum;Quercus.robur.type;Quercus.ilex.type;Ranunculaceae;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Thalictrum;Ulmus;Urticaceae
Lopez_a398;0;0,022587269;0,006160164;0;0;0,006160164;0,728952772;0;0;0,002053388;0,008213552;0;0;0;0;0;0;0,006160164;0,006160164;0;0;0;0;0;0;0;0;0;0;0;0,088295688;0;0,018480493;0,026694045;0;0,022587269;0,002053388;0,004106776;0,018480493;0;0;0,004106776;0;0,004106776;0;0;0
Lopez_a399;0;0,020754717;0,001886792;0;0;0;0,813207547;0;0;0,003773585;0;0;0;0,001886792;0;0;0,001886792;0,001886792;0,003773585;0;0;0;0;0;0;0;0;0;0,001886792;0;0,064150943;0;0,013207547;0,016981132;0;0,016981132;0,001886792;0,005660377;0,013207547;0;0;0;0;0;0;0;0
Lopez_a400;0;0,025742574;0,007920792;0;0,001980198;0;0,794059406;0;0;0;0,007920792;0;0;0,001980198;0;0;0,003960396;0,005940594;0,003960396;0;0;0;0;0;0;0;0,001980198;0;0,001980198;0;0,069306931;0;0,003960396;0,015841584;0;0,017821782;0,001980198;0,001980198;0,013861386;0,001980198;0;0;0;0;0;0,001980198;0
Lopez_a401;0;0,003642987;0,009107468;0;0;0;0,805100182;0;0;0,001821494;0,009107468;0;0;0;0;0;0,005464481;0,005464481;0,001821494;0;0;0;0;0;0;0;0,001821494;0;0;0;0,096539162;0;0,010928962;0,014571949;0;0,014571949;0;0,001821494;0,012750455;0,001821494;0;0;0;0;0;0,001821494;0
Lopez_a402;0;0,032745592;0,002518892;0;0;0;0,753148615;0;0;0,002518892;0;0;0;0;0;0;0,005037783;0,017632242;0,005037783;0;0;0;0;0;0;0;0;0;0;0;0,055415617;0;0,012594458;0,007556675;0;0,032745592;0,005037783;0,002518892;0,050377834;0;0;0,002518892;0;0,005037783;0;0;0
Lopez_a403;0;0,057522124;0,002212389;0;0;0,004424779;0,800884956;0;0;0,004424779;0;0;0;0;0;0;0,002212389;0,013274336;0,004424779;0;0;0;0;0;0;0;0;0;0;0;0,024336283;0;0,011061947;0,013274336;0;0,015486726;0,004424779;0,002212389;0,006637168;0;0;0,002212389;0;0,002212389;0;0;0
Lopez_a404;0;0,002375297;0,004750594;0;0;0;0,019002375;0;0;0;0,004750594;0;0;0;0;0;0;0,009501188;0,016627078;0;0;0;0;0,03087886;0;0,007125891;0;0;0;0;0,004750594;0;0,002375297;0,016627078;0;0,77672209;0,004750594;0,011876485;0,028503563;0,002375297;0;0,016627078;0;0;0;0;0
Lopez_a405;0;0,006237006;0,004158004;0;0;0,006237006;0,004158004;0,002079002;0;0,004158004;0;0;0;0,002079002;0;0;0,008316008;0;0,008316008;0;0;0;0;0;0;0;0;0;0,014553015;0;0,079002079;0,002079002;0,047817048;0,652806653;0,002079002;0,002079002;0,126819127;0;0,008316008;0;0;0;0;0;0;0;0
Lopez_a406;0;0,004149378;0,002074689;0;0,002074689;0,022821577;0,002074689;0,006224066;0;0;0;0;0;0;0;0;0,014522822;0,004149378;0,002074689;0;0;0;0;0;0;0;0;0;0,022821577;0;0,056016598;0,012448133;0,033195021;0,616182573;0;0,004149378;0,15560166;0;0,010373444;0;0;0;0;0,002074689;0;0;0
Lopez_a407;0;0,002169197;0;0;0,002169197;0,004338395;0,004338395;0;0;0;0;0;0;0;0;0;0,004338395;0;0;0;0;0;0;0;0;0;0;0;0,023861171;0;0,90021692;0;0;0,023861171;0;0,023861171;0,006507592;0;0,002169197;0;0;0;0;0;0;0;0
Lopez_a408;0;0;0;0;0,005882353;0,005882353;0,002941176;0;0;0,005882353;0;0;0;0;0;0;0,002941176;0;0;0;0;0;0;0;0;0;0,005882353;0;0,002941176;0;0,867647059;0;0;0,061764706;0;0,011764706;0,008823529;0;0,002941176;0;0;0;0;0;0;0;0
Lopez_a409;0;0;0;0;0,008196721;0,00273224;0,005464481;0;0;0,005464481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00273224;0;0,005464481;0;0,879781421;0;0;0,049180328;0;0,013661202;0,010928962;0;0,00273224;0;0;0;0;0;0;0;0
Lopez_a410;0;0;0;0;0,002777778;0;0,002777778;0;0;0,002777778;0;0;0;0,002777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002777778;0;0,9;0;0;0,052777778;0;0,008333333;0,013888889;0;0,005555556;0;0;0;0;0;0;0;0
Lopez_a411;0;0;0,002747253;0;0,013736264;0;0;0;0;0;0;0;0;0;0;0;0,013736264;0;0;0;0;0;0;0;0;0;0,013736264;0;0,67032967;0;0,054945055;0;0;0,153846154;0;0,019230769;0,03021978;0;0,005494505;0;0;0;0;0;0;0;0
Lopez_a412;0;0;0,007017544;0;0,021052632;0,007017544;0,003508772;0;0;0,014035088;0;0;0;0;0;0;0,045614035;0;0;0;0;0;0;0;0;0;0,021052632;0;0,536842105;0;0,052631579;0;0;0,154385965;0;0,021052632;0,080701754;0;0,007017544;0;0;0;0;0;0;0;0
