"","Longitude","Latitude","V3"
"423",2.83,45.5,"Barboni_a163"
"424",2.83,45.5,"Barboni_a164"
"425",2.83,45.5,"Barboni_a165"
"426",2.61,45.45,"Barboni_a166"
"427",2.61,45.43,"Barboni_a167"
"428",2.58,45.4,"Barboni_a168"
"429",2.6,45.38,"Barboni_a169"
"430",2.58,45.36,"Barboni_a170"
"431",2.68,45.38,"Barboni_a171"
"432",2.66,45.38,"Barboni_a172"
"433",2.66,45.4,"Barboni_a173"
"434",2.66,45.38,"Barboni_a174"
"435",2.66,45.38,"Barboni_a175"
"436",2.7,45.4,"Barboni_a176"
"437",2.7,45.4,"Barboni_a177"
"438",2.7,45.41,"Barboni_a178"
"439",2.7,45.41,"Barboni_a179"
"440",2.7,45.41,"Barboni_a180"
"441",2.66,45.51,"Barboni_a181"
"442",2.65,45.53,"Barboni_a182"
"443",2.73,45.45,"Barboni_a183"
"444",2.76,45.46,"Barboni_a184"
"445",2.789,45.47,"Barboni_a185"
"446",2.733333,45.5,"Barboni_a186"
"447",2.73,45.5,"Barboni_a187"
"448",2.76,45.48,"Barboni_a188"
"449",2.789,45.47,"Barboni_a189"
"450",2.85,45.43,"Barboni_a190"
"451",2.76,45.43,"Barboni_a191"
"452",2.78,45.4,"Barboni_a192"
"453",2.78,45.4,"Barboni_a193"
"454",2.83,45.45,"Barboni_a194"
"455",2.8667,45,"Barboni_a195"
"456",2.83,45.5,"Barboni_a196"
"457",2.83,45.5,"Barboni_a197"
"458",-6.85625,37.155,"Barboni_a349"
"459",29.597222,37.125,"Barboni_a350"
"460",-6.830556,42.877778,"Barboni_a351"
"461",-6.830556,42.877778,"Barboni_a352"
"462",-7,42.7,"Barboni_a353"
"463",8.8,52.1,"Barboni_a354"
"464",5.4,49.9,"Barboni_a355"
"465",5.4,49.9,"Barboni_a356"
"466",5.4,49.9,"Barboni_a357"
"467",5.4,49.9,"Barboni_a358"
"468",5.9,50.3,"Barboni_a359"
"469",5.9,50.3,"Barboni_a360"
"470",5.9,50.4,"Barboni_a361"
"471",13.8,55.4,"Barboni_a362"
"472",14.5,56.1,"Barboni_a363"
"473",15,58.8,"Barboni_a364"
"474",14.2,57.5,"Barboni_a365"
"475",17.7,60.3,"Barboni_a366"
"476",19.2,68.3,"Barboni_a367"
"477",19.2,68.3,"Barboni_a368"
"478",20.8,69,"Barboni_a369"
"479",20.8,69,"Barboni_a370"
"480",21.8,68,"Barboni_a371"
"481",22.3,68.5,"Barboni_a372"
"482",22.2,68.5,"Barboni_a373"
"483",-6.5,37.11666667,"Barboni_a374"
