"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"2.621";0;0;0,0073;0,0949;0,2482;0,1241;0,0146;0,0876;0,0073;0;0;0,1241;0,1387;0;0,0146;0,073;0;0;0;0
"2.905";0;0;0,0132;0,0658;0,2829;0,2039;0;0,2039;0;0;0,0197;0,1579;0,0132;0;0;0,0132;0;0;0;0
"3.096";0;0,0073;0;0,0365;0,3212;0,0657;0,0073;0,219;0,0146;0,0219;0,0146;0,1314;0,073;0;0,0146;0,0438;0;0;0;0
"3.287";0;0;0;0,0441;0,1838;0,1103;0,0147;0,125;0,0074;0,0221;0,0221;0,4559;0;0;0,0074;0;0;0;0;0
"3.669";0;0;0;0,027;0,2365;0,3243;0;0,1216;0,0135;0,0068;0,027;0,1757;0,027;0;0,0203;0,0068;0;0;0;0
"3.764";0;0;0,0061;0,0491;0,3804;0,227;0;0,1718;0,0061;0,0061;0,0307;0,092;0,0061;0;0,0061;0,0123;0;0;0;0
"3.962";0;0;0,0116;0,0058;0,2254;0,5491;0,0058;0,0925;0,0173;0,0173;0,0173;0,0347;0,0173;0;0;0,0058;0;0;0;0
"4.064";0;0;0;0;0,1676;0,6034;0;0,1117;0,0223;0,0112;0,0112;0,0335;0,0168;0;0;0,0056;0;0;0;0
"4.473";0;0;0,0075;0,0672;0,2463;0,4104;0;0,1716;0,0149;0,0149;0,0299;0,0075;0,0149;0;0;0;0;0;0;0
"4.677";0;0;0;0,0943;0,217;0,3585;0;0,2358;0,0377;0,0377;0;0,0189;0;0;0;0;0;0;0;0
"4.983";0;0,0177;0;0,0354;0,1681;0,6106;0;0,0796;0,0354;0,0177;0;0,0088;0,0265;0;0;0;0;0;0;0
"5.085";0;0,0142;0;0,0426;0,2199;0,4326;0;0,1489;0,0426;0,0142;0,0213;0,0355;0,0213;0;0;0;0;0;0;0
"5.289";0;0;0;0,0385;0,2212;0,4423;0,0192;0,125;0,0577;0,0385;0,0385;0;0,0096;0;0;0;0;0;0;0
"5.494";0;0;0,0315;0,0394;0,0945;0,4094;0;0,2992;0,0551;0,0079;0,0472;0;0;0;0;0;0;0;0;0
"5.596";0;0;0,0092;0,0092;0,0734;0,4037;0,0092;0,2844;0,0917;0,0275;0,0917;0;0;0;0;0;0;0;0;0
"5.8";0;0,0088;0;0,0614;0,0263;0,4298;0,0263;0,2193;0,1579;0,0263;0,0175;0;0,0088;0;0;0;0;0;0;0
"6.004";0;0;0;0,0345;0,0259;0,4224;0;0,2759;0,1034;0,0431;0,0603;0;0,0172;0;0;0;0;0;0;0,0086
"6.208";0;0;0,0083;0,0167;0,0667;0,3833;0,0167;0,3333;0,05;0,0667;0,0333;0,0083;0,0083;0;0;0;0;0;0;0
"6.405";0;0;0,0079;0,0079;0,0317;0,381;0;0,2381;0,1032;0,127;0,0952;0;0,0079;0;0;0;0;0;0;0
"6.597";0;0;0,0085;0,0256;0,0256;0,4017;0;0,1795;0,0855;0,1282;0,1111;0,0085;0,0171;0;0;0;0;0;0;0
"6.789";0;0;0,0088;0,0175;0,0439;0,3246;0;0,1842;0,1228;0,1053;0,1842;0;0;0;0;0;0;0;0;0
"6.98";0;0;0,0085;0,0171;0,0171;0,3846;0;0,2393;0,0855;0,1453;0,1026;0;0;0;0;0;0;0;0;0
"7.172";0;0;0;0,0074;0,037;0,4222;0,0074;0,163;0,1111;0,1111;0,1111;0;0,0148;0;0;0;0;0;0;0
"7.364";0;0;0,0083;0,0083;0,0167;0,425;0,0167;0,1917;0,0833;0,1417;0,0833;0;0,0167;0;0;0;0;0;0;0
"7.555";0;0;0;0;0,0093;0,4074;0;0,2037;0,0556;0,1667;0,1481;0;0;0;0;0;0;0;0;0
"7.747";0;0;0,0268;0,0357;0;0,4821;0;0,2054;0,0893;0,0893;0,0536;0;0,0179;0;0;0;0;0;0;0
"7.939";0;0;0,0248;0,0083;0,0248;0,4711;0;0,124;0,1074;0,124;0,0744;0;0,0165;0;0;0;0;0;0;0
"8.13";0;0;0,0265;0;0,0177;0,5133;0,0088;0,115;0,0973;0,1416;0,0796;0;0;0;0;0;0;0;0;0
"8.322";0;0;0,0377;0,0283;0,0094;0,3774;0;0,217;0,0755;0,1981;0,0377;0;0,0094;0;0;0;0;0;0;0
"8.514";0;0;0,0144;0,036;0,0144;0,4748;0;0,1079;0,0504;0,1799;0,0863;0;0,0144;0;0;0;0;0;0;0
"8.701";0;0;0,0308;0,0615;0,0077;0,6308;0;0,0846;0,0385;0,1;0,0154;0;0,0231;0;0;0;0;0;0;0
"8.884";0;0;0,0132;0,0197;0,0197;0,6316;0;0,1316;0,0197;0,125;0,0197;0;0;0;0;0;0;0;0;0
"9.067";0;0;0,0122;0,0183;0;0,7439;0;0,0671;0,0183;0,128;0,0061;0;0;0;0;0;0;0;0;0
"9.25";0;0;0,0181;0,0241;0;0,7711;0;0,0783;0,0301;0,0783;0;0;0;0;0;0;0;0;0;0
"9.434";0;0;0,009;0,009;0;0,8468;0;0,0991;0;0,036;0;0;0;0;0;0;0;0;0;0
"9.617";0;0;0,0144;0,0144;0;0,7698;0;0,1151;0;0,0791;0;0;0;0;0;0;0;0;0;0
"9.8";0;0;0,0278;0,0208;0;0,8819;0;0,0278;0;0,0417;0;0;0;0;0;0;0;0;0;0
"9.983";0;0;0,0353;0,0294;0;0,7706;0;0,0529;0;0,0941;0,0059;0;0,0118;0;0;0;0;0;0;0
"10.166";0;0;0,1083;0,0382;0;0,7452;0;0,0318;0;0,0573;0;0;0,0191;0;0;0;0;0;0;0
"10.35";0;0;0,1704;0,0667;0;0,7481;0;0,0074;0;0,0074;0;0;0;0;0;0;0;0;0;0
"10.533";0;0;0,3313;0,1902;0;0,411;0;0,0123;0;0,0061;0;0;0,0368;0;0;0;0;0;0;0,0123
"10.716";0;0;0,2679;0,5179;0;0,1696;0;0,0089;0;0;0;0;0,0357;0;0;0;0;0;0;0
"10.899";0;0;0,3;0,5545;0;0,0273;0;0;0;0;0;0;0,0455;0;0,0636;0;0;0;0;0
"11.081";0;0;0,6124;0,3101;0;0;0;0;0;0,0078;0;0;0,062;0;0;0;0;0;0;0,0078
"11.262";0;0;0,3482;0,5268;0;0;0;0;0;0;0;0;0,0893;0;0,0179;0;0;0,0089;0;0,0089
"11.443";0;0;0,4272;0,3786;0;0,0291;0;0;0;0;0;0;0,0874;0;0,0388;0;0;0,0097;0;0,0291
"11.624";0;0;0,5398;0,2566;0;0,0354;0;0,0088;0;0;0;0;0,0885;0;0,0265;0;0;0;0;0,0354
"11.805";0;0;0,6124;0,2713;0;0;0;0;0;0;0;0;0,031;0;0,0465;0;0;0,0233;0;0,0155
"11.986";0;0;0,4113;0,2695;0;0,0142;0;0;0;0;0;0;0,2199;0;0,0426;0;0;0,0426;0;0
"12.167";0;0;0,3295;0,2386;0;0;0;0;0;0;0;0;0,3182;0;0,0795;0;0;0,0227;0;0,0114
"12.348";0;0;0,1798;0,0787;0;0;0;0;0;0;0;0;0,5281;0;0,1573;0;0;0;0;0,0562
"12.529";0;0;0,4;0,1333;0;0;0;0;0;0;0;0;0,3556;0;0,1;0;0;0;0;0,0111
"13.003";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13.221";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13.439";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13.657";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
