X2;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
76144,52458;0,163163163;0,069069069;0,011011011;0,095095095;0,077077077;0;0,011011011;0;0;0,036036036;0,007007007;0,292292292;0,182182182;0,048048048;0,004004004;0;0,004004004
76295,28798;0,213;0,129;0,002;0,037;0,208;0,002;0,026;0;0,014;0,026;0,003;0,192;0,052;0,088;0;0;0,008
76345,54245;0,203203203;0,158158158;0,002002002;0,037037037;0,262262262;0;0,007007007;0;0,009009009;0,017017017;0;0,137137137;0,052052052;0,108108108;0;0;0,007007007
76395,79692;0,197197197;0,165165165;0;0,039039039;0,217217217;0;0,008008008;0;0,014014014;0,041041041;0;0,173173173;0,033033033;0,09009009;0,003003003;0;0,019019019
76647,06927;0,29258517;0,146292585;0;0,0250501;0,230460922;0;0,014028056;0;0,00501002;0,02004008;0;0,143286573;0,028056112;0,084168337;0,003006012;0;0,008016032
76898,34161;0,199;0,203;0,004;0,02;0,24;0;0,033;0;0,004;0,012;0;0,097;0,029;0,151;0;0;0,008
77149,61395;0,101898102;0,262737263;0,002997003;0,035964036;0,341658342;0;0,025974026;0;0,00999001;0,005994006;0;0,091908092;0,012987013;0,094905095;0,00999001;0;0,002997003
77400,8863;0,067932068;0,23976024;0,002997003;0,037962038;0,366633367;0;0,043956044;0;0,013986014;0,020979021;0;0,054945055;0,016983017;0,122877123;0;0;0,010989011
77652,15864;0,162;0,132;0,003;0,039;0,399;0;0,056;0;0,006;0,013;0;0,075;0,01;0,099;0;0,003;0,003
77903,43099;0,163672655;0,143712575;0;0,022954092;0,45508982;0;0,04491018;0,002994012;0,016966068;0,007984032;0;0,033932136;0,013972056;0,081836327;0;0;0,011976048
78154,70333;0,133133133;0,157157157;0;0,003003003;0,381381381;0;0,161161161;0;0,021021021;0,021021021;0;0,032032032;0,003003003;0,073073073;0;0;0,014014014
78405,97568;0,13;0,155;0;0,006;0,426;0;0,166;0;0,016;0,009;0;0,035;0,013;0,038;0;0;0,006
78657,24802;0,202;0,112;0;0,007;0,392;0;0,155;0;0,009;0,007;0;0,051;0,013;0,039;0;0;0,013
78908,52037;0,179179179;0,11011011;0,003003003;0,008008008;0,41041041;0;0,134134134;0;0,026026026;0,008008008;0;0,034034034;0,005005005;0,076076076;0,003003003;0;0,003003003
79159,79271;0,151;0,125;0;0,005;0,355;0;0,195;0;0,016;0,008;0;0,033;0,003;0,098;0,003;0;0,008
