X2;Abies;Acer campestre-type;Alnus;Armeria-type;Artemisia;Betula;Boraginaceae;Botrychium;Buxus;Calluna vulgaris;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Cedrus;Centaurea;Chenopodiaceae/Amaranthaceae;Asteraceae subf. Asteroideae;Asteraceae subf. Cichorioideae;Corylus;Crassulaceae;Brassicaceae;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagus;Filipendula;Fraxinus;Gentianaceae;Poaceae;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juniperus;Osmunda regalis;Picea;Pinus;Plantago;Plantago lanceolata-type;Polygonum;Polypodium;Populus;Potamogeton;Quercus ilex-type;Quercus robur-type;Ranunculaceae;Ranunculus-type;Rhamnus;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Selaginella;Taxus;Thalictrum;Tilia;Ulmus;Valeriana
74143.4552725242;0,014218009;0;0,018957346;0;0,009478673;0,151658768;0;0;0;0;0,004739336;0;0;0;0;0;0;0,009478673;0;0;0,004739336;0;0;0;0;0;0;0;0,061611374;0;0;0;0;0,009478673;0;0,146919431;0,545023697;0;0;0;0;0;0;0;0,009478673;0;0;0;0;0;0;0,004739336;0;0;0;0;0;0;0,009478673;0
74194.4979292705;0,01910828;0;0,006369427;0;0,003184713;0,127388535;0;0;0,003184713;0,003184713;0,003184713;0;0;0;0;0;0,003184713;0;0;0;0;0;0;0,00955414;0;0,003184713;0;0;0,054140127;0;0;0;0;0;0;0,171974522;0,557324841;0;0;0;0;0;0;0;0,015923567;0;0;0;0;0,003184713;0,006369427;0,00955414;0;0;0;0;0;0;0;0
74245.5405860168;0;0;0,00330033;0;0,00330033;0,118811881;0;0;0;0,00330033;0,00330033;0;0;0;0;0;0;0;0;0;0,00330033;0;0;0;0;0;0;0;0,04620462;0;0;0;0;0;0;0,313531353;0,478547855;0;0;0,00330033;0;0;0;0;0,00660066;0;0;0;0;0,00330033;0,00330033;0,00330033;0;0;0;0;0,00330033;0;0,00330033;0
74347.6258995095;0,053191489;0;0;0;0;0,071808511;0;0;0,002659574;0,005319149;0,010638298;0;0;0,002659574;0,005319149;0,002659574;0;0;0;0;0,010638298;0;0;0;0;0;0;0;0,055851064;0;0;0;0;0,007978723;0;0,25;0,505319149;0;0;0;0;0;0;0;0,002659574;0,002659574;0;0;0;0,002659574;0;0;0;0;0;0;0;0;0,002659574;0,005319149
74398.6685562558;0,021352313;0;0,021352313;0;0;0,088967972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003558719;0;0;0,003558719;0;0,003558719;0;0;0,028469751;0;0;0;0;0,003558719;0;0,177935943;0,640569395;0;0;0;0;0;0;0;0,003558719;0;0;0;0;0,003558719;0;0;0;0;0;0;0;0;0;0
74449.7112130021;0,057627119;0;0,006779661;0;0;0,108474576;0;0,003389831;0;0,006779661;0;0;0;0;0;0;0;0,003389831;0;0;0,006779661;0;0;0;0;0;0;0;0,061016949;0;0;0;0;0;0;0,308474576;0,410169492;0;0;0;0;0;0;0;0,013559322;0;0;0;0;0;0,006779661;0,006779661;0;0;0;0;0;0;0;0
74500.7538697484;0,061728395;0;0,004115226;0;0;0,098765432;0;0;0,004115226;0,008230453;0,004115226;0;0;0;0,004115226;0;0;0;0;0;0,012345679;0,004115226;0;0;0;0;0;0;0,053497942;0;0;0;0;0;0;0,267489712;0,452674897;0;0;0;0;0;0;0;0,004115226;0;0;0;0,004115226;0;0,004115226;0,008230453;0;0;0;0;0;0;0,004115226;0
74551.7965264948;0,016129032;0;0,008064516;0;0,004032258;0,161290323;0;0;0;0,012096774;0,012096774;0;0;0;0;0,004032258;0;0;0;0;0,024193548;0;0;0;0;0,008064516;0;0;0,068548387;0;0;0;0;0,004032258;0;0,22983871;0,443548387;0;0;0;0;0;0;0;0;0;0;0;0;0,004032258;0;0;0;0;0;0;0;0;0;0
74602.8391832411;0,066202091;0;0,017421603;0;0,003484321;0,153310105;0;0;0,003484321;0,006968641;0,006968641;0;0;0;0;0;0;0;0;0;0,003484321;0;0;0;0;0;0;0;0,041811847;0;0;0;0;0;0;0,254355401;0,418118467;0;0;0;0;0;0;0;0,013937282;0,003484321;0;0;0;0;0;0,006968641;0;0;0;0;0;0;0;0
74653.8818399874;0,113821138;0,004065041;0,004065041;0;0;0,162601626;0;0;0;0;0,004065041;0;0;0;0;0;0;0,008130081;0;0;0,004065041;0;0;0;0;0;0,004065041;0;0,040650407;0;0;0;0;0,004065041;0;0,284552846;0,345528455;0;0;0;0;0;0;0;0,012195122;0;0;0;0;0;0,004065041;0,004065041;0;0;0;0;0;0;0;0
74704.9244967337;0,052219321;0;0,018276762;0;0;0,261096606;0;0;0;0;0,015665796;0;0;0;0;0;0;0,002610966;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002610966;0;0,002610966;0;0,253263708;0,352480418;0;0;0;0;0,002610966;0;0;0,026109661;0;0;0;0;0;0;0;0;0;0;0,007832898;0;0;0,002610966;0
74755.9671534801;0,103626943;0;0,010362694;0;0,005181347;0,155440415;0;0;0;0;0,015544041;0;0;0;0;0;0;0;0;0;0;0;0;0,005181347;0;0;0;0;0,051813472;0;0;0;0;0;0;0,362694301;0,279792746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005181347;0;0;0;0;0;0;0,005181347;0
