Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Chenopodiaceae/Amaranthaceae;Poaceae
14;7,4;10,7;7,7;0,5;0;0;1,3;29,7;15,6;3,3;0,3;0;0;0,3;0,3;8,8
16,3;6,9;9,5;7,7;1,1;0;0;0,7;29,2;18,2;4,8;0,4;0;0,4;1,1;0;3,6
21,3;12,9;3,7;20,8;2,6;0;1,4;0,3;19,2;5,2;8,8;0;0;0,8;0,2;0,2;2,6
20,3;15,8;3,7;26,2;0,7;0;0,9;0;13,7;5,2;10,8;0;0;0,7;0,2;0;1,7
19,7;16,5;3,9;21,7;0,8;0;1,4;0;17,3;3,3;9;0,3;0;1,9;0;0;4,1
29,2;14,6;2,5;23;1,4;0;0,5;0;14,3;2,8;8,4;0,3;0;0,8;0;0;2
19,9;20,3;2;24;3,3;0;0,4;0;9,7;2,9;15,1;0;0;0,8;0,4;0;1,2
10,2;26,3;3,6;34,2;2,6;0;1;0;9,2;1,3;9,5;1;0;0,3;0,3;0;0,6
6,8;24;3,8;36,7;4,4;0;1,4;0;5,5;1,7;12,3;0;0;1,1;0,3;0;2,1
16,2;13,2;3,9;39,9;5,6;0;0,6;0;7,5;1;9,9;0;0,3;0,3;0,3;0;1,3
16,4;14,4;2,3;45,6;4,5;0,3;1,7;0;3,4;1,4;8,2;0;0;1,2;0;0;0,8
13,3;15,7;0,3;38,1;16,1;0;2,1;0;3,2;0,3;7,3;0;0;1,4;0;0;2,1
13;15,5;0,6;42,6;16,6;0;1,6;0;3,5;1,3;3,8;0;0;0,6;0;0;0,9
20,2;11,2;0,7;39,2;15,5;0;0,9;0;5,1;1,3;3,9;0;0;1,3;0;0;0,7
17,9;11;0,8;41;13,4;0;2,6;0;3,4;0,5;7,6;0,3;0;0,3;0,3;0;0,8
15,1;12,5;0,5;35,5;19,5;0;1,6;0;3,3;0,3;9,8;0,3;0;0,8;0;0;0,8
10,8;6,8;0,5;46,4;23,7;0;1,7;0;0,9;1,2;7,1;0;0;0,2;0;0;0,7
16,4;13,9;1,1;34,7;23,9;0,3;0,8;0;2,2;1,4;4,2;0;0;0,5;0;0;0,5
6,7;9,3;0,7;50,7;18,9;0;2,6;0,2;0,7;1,3;7,6;0;0,2;0,5;0;0;0,4
1,7;8,9;0,2;49,1;24,4;0;0,4;0;0,8;0,9;12,1;0;0;1,1;0;0;0,2
2,2;8,9;0,9;46,7;22,4;0;1,9;0;2,4;0,9;11,9;0;0;1,4;0;0;0,3
3,7;10,2;0,6;50,3;17,3;0;1,7;0,2;1,9;1;11,9;0;0;0,8;0;0;0,4
1;11,9;0,6;42,3;30,8;0;1,3;0;0,6;0,6;9,9;0;0;0,6;0;0;0,3
0;10,6;0;51,3;23,9;0;1,5;0;2,3;0;9,5;0,4;0;0,4;0;0;0
0,2;8,4;0,2;32;35,3;0;2,9;0;0,5;0,2;18,7;0;0,2;0,5;0;0;0,8
0,4;6,1;0;16,4;52,4;0;2,3;0;0,4;0,4;19,6;0;0;1,4;0;0;0,4
0;5,5;0,7;4,2;54,5;0;1,4;0;0,3;0;32,1;0;0;0,3;0,7;0;0,3
0;6,1;0,9;3,7;56,9;0;2,4;0;3,1;0,9;23;0;0;1,3;0,3;0;1,3
0,2;4,4;0,7;0;51,7;0,2;2,7;0;1,2;0,7;34,2;0,2;0,2;1,7;0,2;0;1,2
0,2;6,2;0;0,5;56,4;0;1,9;1,1;0,6;1,1;29,8;0;0;1,6;0;0;0,5
0,4;4,3;0;0;61,8;0;2,6;0,6;1;1,7;25,7;0;0;1,3;0,4;0;0,4
0;5,5;2,5;0,3;52,4;0;5,9;0;1,9;0,3;30,3;0;0;0,8;0;0;0
0;7;0,6;0;49,1;0;6,8;0;0,8;0,8;31,7;0;0;1,9;0;0;1,3
0;7;0,3;0;55,7;0;4,9;0;1,3;1,3;28,5;0;0;0,6;0;0;0,6
0;4,7;0,6;0;59,1;0;2,7;0,3;1,7;2;25,9;0;0;0,6;0;0;2,3
0;1,8;1,8;0;74,7;0;2,1;0;1,5;0,6;15,3;0,4;0;0;0,4;0;1,5
0;2,2;0,6;0;65;0;1,8;0,4;0,6;1,8;23,8;0,2;0,2;2,5;0;0;0,9
0;1,4;0,3;0;69,3;0;1,2;0;0,5;0,7;24,3;0;0,3;1,7;0,1;0;0,1
0,2;0,4;0,6;0;56,9;0;2,8;0,2;0,8;1,2;32,8;0;0;2,8;0;0;1,2
0;0;1,5;0;62,1;0;2,2;0,4;0;1,1;28,9;0;0,4;2,9;0;0;0,4
0;0;1,3;0;64,9;0;4,7;0,5;0;2;22,2;0;0;2,7;0,4;0;1,1
0;1,2;1,2;0;64,9;0;2;0,4;0,6;1,6;25,1;0,2;0;1,6;0;0;1,2
1,8;4,4;1,5;6,3;52,2;0;3,8;0,7;1,3;1,8;24,6;0;0;0,7;0;0;0,9
