-: limite inf‚rieure
+: limite sup‚rieure
Temp en 1/10 degres
Prec en mm
anomalies
    TJAN-TJAN TJAN+TJUL-TJUL TJUL+TANN-TANN TANN+PJAN-PJAN PJAN+PJUL-PJUL PJUL+PANN-PANN PANN+
1380 -270 -207 -138  -33  -29  -23 -131  -97  -60  -82  -63  -35  -29   -2   27 -781 -683 -554
1383 -175 -115  -54  -41  -31  -23  -82  -51  -18  -59  -45   12  -20  -10   -5 -635 -530 -112
1385 -111  -44  -26  -30  -20  -10  -60  -35  -23  -42  -21   37  -35  -22   -8 -517 -364   59
1388  -67  -41   21  -62  -22   -2  -49  -19    4  -49  -41  -12  -17   -7   29 -547 -409  -11
1390 -142  -87  -49  -23   -6   25  -69  -39  -18  -63  -52  -44  -13   -8   -5 -616 -537 -446
1393  -80  -60  -37  -54  -25  -11  -78  -39  -22  -45  -38  -24  -10    6   42 -493 -362  -41
1395 -135  -77  -44  -23   -5   27  -58  -32   -6  -61  -50  -34  -25  -10   -3 -606 -548 -446
1398  -88  -68  -46  -56  -25  -12  -71  -44  -27  -43  -20   38  -21    0   42 -519 -263  -10
1400 -198 -179  -89  -59  -26   -6 -126 -105  -84  -58  -51    3   -9    2   45 -592 -494  -63
1425  -49  -36  -27  -20  -14   -7  -29  -20  -15  -45  -43  -41   -7   -4   11 -496 -462 -411
1428 -151 -108  -74  -46  -37  -29 -100  -75  -58  -56  -45  -18  -40   -8   -1 -589 -507 -257
1430  -95  -72  -48  -78  -38  -17  -82  -52  -22  -46  -39  -24  -14    4   42 -514 -378  -41
1433  -47  -31  -24  -24  -18  -10  -36  -30  -20  -45  -41  -37  -38  -22   -8 -551 -495 -456
1435  -67  -53  -36  -22  -16   -9  -29  -24  -16  -49  -46  -32  -19   -8    3 -553 -503 -314
1438  -93  -42  -25  -32  -22  -12  -72  -38  -25  -49  -42  -37  -39  -20   -3 -564 -497 -440
