Age;Abies;Acer_Campestre;Alisma;Alnus;Armeria;Artemisia;Betula;Boraginaceae;Botrychium;Erica_Spiculifolia;Buxus;Vulgaris;Campanulaceae;Carpinus;Caryophyllaceae;Cedrus;Centaurea;Amaranthaceae;Corylus;Crassulaceae;Cyperaceae;Caprifoliaceae;Ephedra;Ericaceae;Fagus;Filipendula;Fraxinus;Gentiana;Poaceae;Hedera;Helianthemum;Hippophae;Ilex;Isoetes;Juniperus;Lamiaceae;Fabaceae;Lemna;Liliaceae;Lycopodium;Trifoliata;Mercurialis;Myriophyllum;Nymphaea;Osmunda;Picea;Pinus;Plantago;Plantago_Lanceolata;Polygonum;Polypodium;Populus;Potamogeton;Quercus_Robur;Quercus_Ilex;Ranunculaceae;Ranunculus;Rhamnus;Rosaceae;Rubiaceae;Rumex;Salix;Minor;Officinalis;Saxifraga;Scrophularia;Selaginella;Sphagnum;Taxus;Thalictrum;Tilia;Angustifolia;Ulmus;Apiaceae;Valeriana;Vitis
23373;0;0;0;0;1;27;1;0;0;0;0;0;0;0;3;0;0;0;0;0;12;0;1;0;0;0;0;0;52;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;1;0;0;0;0;0;0;0;0;45;0;0;0;2;0;0;0;0;0;0;0;0;22;0;0;0;2;0;0
23479;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;0;0;0;0;0;0;0;26;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;55;0;0;1;3;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0
23744;0;0;0;0;1;16;2;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;0;0;0;0;0;0;33;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;24;0;0;0;2;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0
24274;0;0;0;0;1;18;2;0;0;0;0;0;2;0;0;0;1;3;0;0;6;0;0;0;0;0;0;0;48;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;14;0;0;1;5;1;0;0;1;0;0;0;0;15;0;0;0;1;0;0
24698;0;0;0;0;0;26;1;0;0;0;0;0;0;0;3;0;0;3;0;0;4;0;0;0;0;0;0;0;55;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;5;0;1;0;2;1;0;0;3;0;0;0;0;13;0;0;0;1;0;0
24804;0;0;0;0;1;13;1;0;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;1;0;0;61;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;1;0;0;0;0;19;0;0;1;4;1;0;0;0;0;0;0;0;13;0;0;0;2;0;0
24963;0;0;0;1;1;16;5;0;0;0;0;0;0;0;2;0;0;4;0;0;3;0;0;0;0;0;0;0;46;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;15;0;1;1;0;0;0;0;2;0;0;0;0;13;0;0;0;3;0;0
25069;0;0;0;0;0;21;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;60;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;43;0;0;0;12;2;0;0;1;0;0;0;0;9;0;0;0;0;0;0
25334;0;0;0;0;0;16;0;0;0;0;0;0;0;0;5;0;1;4;0;0;2;1;0;0;0;0;0;0;52;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;18;0;0;0;5;0;0;0;0;1;0;0;0;21;0;0;0;1;0;0
25493;0;0;0;0;0;11;1;0;0;0;0;0;0;0;5;0;0;1;0;0;3;0;0;0;0;0;0;1;72;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;15;0;1;0;9;3;0;0;0;0;0;0;0;10;0;0;0;1;0;0
25599;0;0;0;0;0;16;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;80;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;5;0;0;0;0;0;0;0;0;20;0;0;0;6;3;0;0;3;0;0;0;0;18;0;0;0;1;0;0
25864;0;0;0;0;0;8;1;0;0;0;0;0;0;0;4;1;0;3;0;0;8;0;0;0;0;0;0;0;63;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;30;0;0;1;3;2;0;0;0;0;0;0;0;13;0;0;0;0;0;0
26129;0;0;0;0;0;10;0;0;0;0;0;1;0;0;3;0;0;0;0;0;8;0;0;0;0;0;0;0;50;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;1;0;42;0;0;0;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0
26288;0;0;0;1;0;5;0;0;0;0;0;0;0;0;5;0;0;1;0;0;4;0;0;1;0;0;0;0;61;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;32;0;1;1;5;2;0;0;1;0;0;0;0;10;0;0;0;0;0;0
26553;0;0;0;0;1;8;2;0;0;0;0;0;0;0;2;0;0;1;0;0;3;0;0;1;0;0;0;0;72;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;120;0;0;2;11;2;0;0;2;0;0;0;0;14;0;0;0;6;0;0
26659;0;0;0;0;0;6;1;0;0;0;0;0;1;0;5;0;0;2;0;0;6;0;0;0;0;1;0;0;65;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12;0;0;0;0;0;0;0;0;0;14;0;0;0;5;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
27083;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;0;1;0;0;0;0;66;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;27;0;0;1;9;1;0;0;0;0;0;0;0;9;0;0;0;3;0;0
27348;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;45;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;0;13;0;0;0;2;0;0
27825;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;60;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;9;0;1;0;3;1;0;0;0;0;0;0;0;7;0;0;0;6;0;0
28037;0;0;0;0;0;5;2;0;0;0;0;0;1;0;1;0;0;1;0;0;5;0;0;0;0;0;0;0;83;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;5;0;0;0;0;0;11;0;1;0;20;0;0;1;6;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0
28408;0;0;0;0;1;12;12;0;0;0;0;2;0;0;2;0;0;5;0;0;8;0;0;1;0;1;0;0;77;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;17;3;0;0;0;0;1;0;0;0;23;0;0;0;2;0;0;0;1;0;0;0;0;12;0;0;0;0;0;0
28673;0;0;0;2;0;18;13;0;0;0;0;1;1;0;3;0;0;2;1;0;6;0;0;0;0;0;0;0;60;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;10;2;0;0;0;0;0;0;0;0;10;0;0;2;4;0;0;0;1;0;0;0;0;5;0;0;0;3;0;0
28938;1;0;0;2;0;15;10;0;0;0;0;0;0;1;9;0;0;6;0;0;3;0;0;1;0;0;0;0;65;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;16;3;0;0;0;0;0;0;0;0;15;0;0;0;1;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0
29203;1;0;0;0;0;11;10;0;0;0;0;1;0;0;5;0;0;3;1;0;6;0;0;1;0;0;0;1;80;0;1;0;0;9;0;0;0;0;0;0;0;0;2;0;0;1;5;5;0;0;0;0;0;0;0;0;210;0;0;2;4;1;0;0;1;0;0;0;0;11;0;0;0;5;0;0
29521;0;0;0;1;1;5;9;0;0;0;0;0;0;0;1;0;0;2;1;0;5;0;0;0;0;1;0;0;52;0;3;0;0;11;0;0;0;0;0;0;0;0;2;0;0;2;14;1;0;0;0;0;0;0;0;0;170;0;0;1;3;0;0;0;1;0;0;0;0;10;0;0;0;2;0;0
29786;1;0;0;0;0;10;21;0;0;0;0;3;0;1;1;0;0;1;0;0;12;0;0;0;0;1;0;1;75;0;2;0;0;80;0;0;0;0;0;0;0;0;3;0;0;1;12;2;0;0;0;0;0;0;0;0;95;0;2;1;5;3;0;0;1;0;1;0;0;6;0;0;0;1;0;0
29892;5;0;0;2;2;10;18;0;0;0;0;3;0;2;7;0;0;1;3;1;9;1;0;1;0;1;0;0;96;0;6;0;0;13;0;0;0;0;0;0;0;0;0;0;0;4;28;10;0;0;0;0;0;0;2;0;270;0;1;1;6;1;0;0;0;0;0;0;0;5;0;0;0;0;1;0
30051;2;0;0;1;0;15;17;0;1;0;0;3;0;5;4;0;0;9;0;0;15;0;0;0;0;1;0;0;77;0;6;0;0;24;2;0;1;0;0;0;0;0;5;0;1;3;22;0;0;0;0;0;0;0;0;0;210;0;1;0;1;0;0;0;0;0;0;0;0;12;0;0;0;0;1;0
30422;2;0;0;0;0;11;16;0;0;0;0;1;0;1;1;0;1;1;0;0;14;0;0;0;0;3;0;0;61;0;4;0;0;30;0;0;0;0;0;0;0;0;2;0;0;1;12;2;0;0;0;0;0;0;1;0;90;0;1;0;3;2;0;0;1;0;0;0;0;6;0;0;0;1;0;0
30581;2;0;0;0;1;7;1;0;0;0;0;1;1;0;3;0;0;1;2;0;12;1;0;2;0;0;0;1;42;0;2;0;0;3;0;0;0;0;0;0;0;0;1;0;0;3;20;2;0;0;0;0;0;0;0;0;110;0;0;1;1;1;0;0;0;0;0;0;0;4;0;0;0;1;1;0
30740;0;0;0;0;1;10;6;0;0;0;0;0;1;1;5;0;0;0;1;0;5;1;0;0;0;2;0;0;48;0;0;0;0;60;1;0;0;0;0;0;0;0;3;0;0;1;10;1;0;0;0;0;0;0;0;0;65;0;0;1;3;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0
31005;1;0;2;0;1;16;20;0;0;0;0;1;0;0;4;0;0;3;1;0;12;0;1;0;0;0;0;0;60;0;2;0;0;13;1;0;0;0;0;0;0;0;6;0;0;3;25;2;0;0;0;0;0;0;1;0;140;0;0;0;3;1;0;0;0;0;0;0;0;5;1;0;0;1;0;0
31217;1;0;0;1;0;8;6;0;0;0;0;1;0;1;3;0;1;1;1;0;17;0;0;0;0;0;0;0;60;0;1;0;0;30;0;0;0;0;0;0;0;0;5;0;0;1;16;4;0;0;0;0;0;0;0;0;90;0;1;0;4;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0
31535;0;0;0;1;0;12;20;0;0;0;0;1;0;1;2;0;0;1;0;0;12;0;0;0;0;1;0;2;65;0;3;0;0;24;1;0;0;0;0;0;0;0;4;0;1;3;20;6;0;0;0;0;0;0;1;0;120;0;0;2;2;1;0;0;2;0;1;0;0;11;0;0;0;2;0;0
31800;0;0;1;0;0;8;18;0;0;0;0;0;1;0;1;0;0;1;0;0;10;0;0;1;0;1;0;0;54;0;1;0;0;30;0;0;0;0;0;0;0;0;7;0;0;0;12;3;0;0;0;0;0;0;1;0;50;0;2;0;6;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0
32065;0;0;0;0;1;12;24;0;0;0;0;3;0;0;2;0;0;1;0;0;28;0;0;0;0;1;0;0;75;0;3;0;0;23;0;0;0;0;0;0;0;0;2;0;0;1;17;1;0;0;0;0;0;0;2;0;90;0;1;1;2;1;0;0;0;0;0;0;0;11;0;0;0;3;0;0
32330;0;0;1;0;0;7;9;0;1;0;0;1;0;1;1;0;1;3;1;0;13;1;0;0;0;1;0;0;55;0;2;1;0;7;1;0;1;0;0;0;0;0;8;0;0;1;17;1;0;0;0;0;0;0;2;0;25;0;0;1;3;1;0;0;1;0;0;0;0;13;0;0;0;1;0;0
32595;0;0;0;0;0;14;23;0;0;0;0;1;1;0;2;0;0;3;0;0;13;2;0;0;0;0;0;1;97;0;7;0;0;40;2;0;0;0;0;0;0;0;9;0;0;1;22;4;0;0;0;0;0;0;0;0;20;0;0;0;6;1;0;0;1;0;0;0;0;8;0;0;0;6;0;0
32807;0;0;1;0;0;5;15;0;0;1;0;1;0;1;1;0;0;2;0;0;14;1;0;0;0;2;0;0;70;0;2;0;0;50;1;0;0;0;1;0;0;0;6;0;0;1;7;1;0;0;0;0;1;0;2;0;6;0;0;2;2;0;0;0;4;0;0;0;0;3;0;0;0;1;1;0
32860;0;0;0;1;0;18;27;0;0;0;0;4;0;0;1;0;0;2;0;0;15;1;0;1;0;5;0;0;85;0;4;2;0;24;4;0;0;0;0;0;0;0;8;0;0;1;18;1;0;0;0;0;0;0;0;0;21;0;0;1;10;0;0;1;0;0;2;0;0;7;0;0;0;2;0;0
33178;0;0;0;0;0;8;13;0;0;1;0;1;0;0;2;0;0;1;2;1;10;0;0;0;0;3;0;0;65;0;3;0;0;15;2;0;0;0;0;0;0;0;7;0;0;1;12;1;0;0;0;1;0;0;2;0;2;0;1;3;3;3;0;0;0;0;0;0;0;3;0;0;0;4;0;0
33390;0;0;0;0;0;20;26;0;0;0;0;0;0;0;1;0;0;1;0;1;20;0;0;0;0;1;0;1;70;0;2;1;0;40;2;0;0;0;1;0;0;0;7;0;0;1;12;4;0;0;0;0;0;0;2;0;18;0;2;3;2;0;0;1;1;0;1;0;0;13;0;0;0;0;0;0
33708;0;0;0;0;0;14;18;0;0;0;0;2;0;1;1;0;1;1;4;0;9;0;0;1;0;3;0;0;63;0;0;0;0;11;0;0;0;0;0;0;0;0;4;0;0;4;17;3;0;0;0;0;0;0;0;0;11;0;0;0;10;3;0;0;0;0;0;0;0;6;0;0;0;3;0;0
