Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
82686;0;3;163;0;16;0;0;114;6;34;0;9;0;0;181;21;454
82947;0;14;182;0;2;0;0;76;7;60;2;0;0;2;238;23;394
83122;0;8;141;4;4;0;0;16;41;210;8;12;0;4;161;20;371
83384;0;5;302;0;4;0;0;15;50;415;23;2;0;2;30;2;150
83559;0;9;292;6;3;0;3;12;61;455;39;0;0;3;12;0;103
83821;0;19;302;3;0;13;3;0;45;469;56;5;0;10;15;0;59
83996;0;3;223;0;3;0;0;0;154;470;33;0;0;0;17;3;93
84259;0;3;248;0;10;3;3;0;169;478;29;0;0;0;0;0;57
84434;0;9;279;0;6;9;6;0;90;467;46;0;0;0;18;0;70
84698;0;6;145;0;3;3;0;6;128;615;22;3;0;0;6;0;63
84873;0;11;135;0;0;4;0;0;52;674;7;0;0;0;14;7;95
87079;0;18;187;3;5;3;0;5;92;556;18;0;0;0;5;0;107
87344;0;3;371;0;0;0;0;79;61;273;6;6;0;3;44;6;147
87522;0;10;236;3;0;7;0;0;108;547;22;3;0;3;7;0;53
87788;0;15;269;4;2;0;4;15;122;430;29;0;0;2;13;2;93
87966;0;20;227;9;3;0;0;0;146;443;45;3;0;0;12;0;92
88232;0;7;273;7;4;7;0;13;122;446;30;4;0;0;4;0;82
88410;0;22;293;19;11;3;8;0;159;372;3;0;8;0;8;3;90
88677;0;30;241;44;10;5;10;3;106;362;106;0;0;3;5;2;71
88856;0;28;247;44;28;0;5;5;122;389;55;3;3;11;3;0;55
89123;0;18;207;37;29;4;4;2;120;396;107;0;0;18;7;0;49
89301;0;28;216;37;9;0;9;0;154;401;94;3;0;6;0;0;43
89569;0;34;230;85;34;0;15;4;78;304;141;7;0;15;7;0;45
89748;0;33;191;156;26;0;12;6;111;219;174;0;0;12;6;0;54
90016;0;18;170;118;48;0;11;7;233;229;110;0;0;11;0;0;45
90195;0;34;127;184;41;0;28;0;144;161;230;0;0;10;3;0;38
