;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH;;
11,262;7,848072323;13,70639973;13,70639973;14,33089953;14,33089953;14,33089953;14,33089953;7,107327006;6,482827206;10,75151855;1,135781669;1,135781669;0;0;0;0;;
11,443;7,664700186;14,16239208;13,29554007;16,40037501;16,40037501;16,40037501;16,40037501;10,2880923;7,183257358;10,5352402;1,838477631;1,838477631;0;0;0;0;;
11,624;6,759534059;14,07253618;12,3289766;15,81609576;15,81609576;15,81609576;15,81609576;10,80012127;7,31300212;9,649170714;1,46628783;1,46628783;0;0;0;0;;
11,805;6,185121416;13,97870852;14,30678837;15,33148345;15,33148345;15,33148345;15,33148345;10,17105711;9,146362033;7,797572965;2,037154879;2,037154879;0;0;0;0;;
11,986;5,142956348;11,51712296;13,4561949;14,41536121;14,41536121;14,41536121;14,41536121;9,27240486;8,313238555;9,778687143;1,939071943;1,939071943;0;0;0;0;;
12,167;5,633218389;11,32970854;11,86012201;12,66012201;12,66012201;12,66012201;12,66012201;7,826903617;7,026903617;11,22964582;2,729468813;2,729468813;0;0;0;0;;
12,348;4,977516092;9,158425084;6,895683384;9,158425084;9,158425084;9,158425084;9,158425084;6,443650692;4,180908992;12,21008134;3,90256326;3,90256326;0;0;0;0;;
12,529;4,362923905;10,64782645;9,866801483;10,64782645;10,64782645;10,64782645;10,64782645;7,065927513;6,284902545;10,28407244;3,082207001;3,082207001;0;0;0;0;;
13,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13,221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13,439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13,657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13,788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13,875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,093;5,034711569;13,77667304;12,04173788;10,60965551;13,77667304;10,60965551;13,77667304;7,309879103;5,574943946;11,88087838;0;0;0;0;0;0;;
14,137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14,965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15,096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15,183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15,401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15,532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15,968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16,448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16,536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16,688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
