;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
X68254.5729581969;6,439121951;15,59211937;14,01098054;15,5960182;18,77406791;16,30312498;19,48117469;11,44514186;5,974947699;9,008168466;0,5;0,5;0;0;0;0
X68355.0818960044;6,435924639;16,05322427;15,03664918;17,39871152;20,81923779;17,89871152;21,31923779;12,97936197;6,696773354;8,671992617;0;0;0;0;0;0
X68505.8453027157;5,634616436;15,27878071;14,13860528;16,36583886;19,75700385;16,36583886;19,75700385;11,87139785;6,25299928;7,732234132;0,447213595;0,447213595;0;0;0;0
X68606.3542405232;6,11004872;16,26295362;14,74637853;15,14043949;19,0004913;15,77289502;19,63294683;11,17942139;6,292853089;8,059407589;0;0;0;0;0;0
X68757.1176472344;6,893568722;15,06350919;12,91335695;17,89302373;20,59487495;18,89302373;21,59487495;14,14960724;5,468089246;8,893568722;0,447213595;0,447213595;0;0;0;0
X68857.6265850419;5,986091784;13,86786931;12,51077702;17,1000025;20,35576662;17,93666253;21,19242664;13,62389079;4,942241169;8,199686146;0,316227766;0,316227766;0;0;0;0
X69008.3899917532;5,202194627;14,70999301;14,01703118;16,59206012;21,36699467;17,36665679;22,14159134;13,30463758;5,180077422;7,202194627;0;0;0;0;0;0
X69108.8989295606;5,195788476;12,87374238;11,17080375;15,98078455;19,70905492;17,49735963;21,22563001;14,00450979;3,949683532;7,012378688;0;0;0;0;0;0
X69259.6623362719;6,195178355;13,61996393;11,74913524;18,08355811;21,66126687;18,79066489;22,36837365;14,46631523;3,847076812;7,776317186;0;0;0;0;0;0
X69360.1712740794;5,545259996;12,58224964;11,37079628;17,85573806;21,5163391;18,17196582;21,83256687;14,47061472;4,008844135;7,389168888;0;0;0;0;0;0
X69510.9346807907;5,510530102;10,92562651;9,785451087;17,95280383;20,52185035;18,7274005;21,29644702;14,35704583;2,846049894;7,242580909;0,447213595;0,447213595;0;0;0;0
X69611.4436185981;5,326284275;13,15650091;12,0610558;17,41690948;21,60020962;18,04936502;22,23266515;13,81852586;3,646916506;7,086965961;0;0;0;0;0;0
X69762.2070253094;3,774254628;10,61371737;9,388972498;16,55723364;20,43021699;17,50591694;21,37890029;14,95640718;2,966479395;5,078095109;0,316227766;0,316227766;0;0;0;0
X69862.7159631169;3,771651778;9,935866312;8,752650355;15,46133115;19,13556577;16,97790624;20,65214086;14,38947042;2,48997992;5,444971831;0;0;0;0;0;0
X70013.4793698281;3,785412584;9,963783222;8,480543524;15,87646001;19,86394042;17,21810079;21,2055812;14,91592791;2,19089023;5,88303028;0;0;0;0;0;0
X70113.9883076356;3,037542021;9,806789759;9,214336891;16,62255711;21,00433757;17,84730198;22,22908244;15,94993538;2,935189835;3,585264579;0;0;0;0;0;0
X70264.7517143469;3,364244998;9,01614164;8,121714449;16,56197622;20,0691118;18,04521592;21,5523515;15,57539811;2,144761059;4,200905025;0;0;0;0;0;0
X70365.2606521544;2,942545008;10,19633462;9,421737952;16,17942267;20,64036428;17,69599776;22,15693936;15,52804942;2,792848009;3,891228306;0;0;0;0;0;0
X70516.0240588656;2,449489743;7,192906233;7,192906233;16,59559326;18,80918762;17,49002045;19,70361482;15,04053071;2,529822128;3,449489743;0;0;0;0;0;0
X70616.5329966732;4,429961097;11,99292355;10,59849636;17,2839066;20,02251938;18,54881766;21,28743045;14,51328375;4,324349662;5,570136522;0;0;0;0;0;0
X70767.2964033844;3,97682881;12,07217769;11,75594992;15,33284194;18,08965169;16,38165078;19,13846053;12,72104974;5,338539126;5,025637658;0;0;0;0;0;0
X70867.8053411919;4,329256638;13,53523046;12,9875079;15,11662511;16,960534;15,66434766;17,50825656;11,88281358;7,362064928;6,002576691;0;0;0;0;0;0
X71018.5687479031;4,847679857;14,59595753;15,77917349;14,02175712;16,09540126;14,02175712;16,09540126;9,174077264;8,857849498;6,921323993;0,632455532;0,632455532;0;0;0;0
X71119.0776857107;4,266145802;14,22582866;15,60423353;14,0230947;15,60423353;14,0230947;15,60423353;9,756948901;9,756948901;6,055000184;0,836660027;0,836660027;0;0;0;0
X71872.8947192669;5,893190226;14,28850101;14,6971203;15,34175875;17,34175875;15,34175875;17,34175875;10,22316519;7,578526739;9,400325809;2,19089023;2,19089023;0,774596669;0,774596669;0;0
X72023.6581259782;5,72706694;16,20644215;15,49933537;13,21683886;17,25416471;13,71683886;17,75416471;8,696878702;6,442049363;8,21704686;0,547722558;0,547722558;0;0;0;0
X72124.1670637856;5,842562768;15,66263555;14,0425673;16,3529695;19,3529695;16,3529695;19,3529695;11,49801945;6,503845017;8,312380575;0,316227766;0,316227766;0;0;0;0
X72274.9304704969;5,426694092;11,85272253;10,43850896;17,18040219;20,81358261;18,07482938;21,7080098;14,06234885;2,792848009;7,707044942;0;0;0;0;0;0
X72375.4394083044;4,289189;11,69548907;10,60004396;16,78793343;20,92314806;18,09177391;22,22698854;14,89803003;3,271085447;5,932356672;0;0;0;0;0;0
X72526.2028150157;5,779273311;14,22841099;14,22841099;13,96248927;15,41162694;13,96248927;15,41162694;8,183215957;7;8,145705224;0,547722558;0,547722558;0;0;0;0
X72626.7117528231;5,95683309;13,80728616;13,6058208;18,74616106;21,29567082;19,58282109;22,13233085;14,96762879;6,441118737;7,005641938;0,447213595;0,447213595;0;0;0;0
X72777.4751595344;4,731235838;14,4595549;13,5108716;15,58659889;18,19427985;15,58659889;18,19427985;11,17159082;6,804410334;6,852556182;0,316227766;0,316227766;0;0;0;0
X72877.9840973419;5,138093031;15,35155381;15,12005902;14,20631027;16,44237825;14,52253804;16,75860602;8,83672245;7,745898014;7,374161009;0;0;0;0;0;0
X73028.7475040531;7,880178637;15,88850619;15,1153803;14,66310286;16,66310286;14,66310286;16,66310286;8,330646781;6,782924224;11,3298163;0,316227766;0,316227766;0;0;0;0
X73129.2564418606;7,153260105;17,59736187;14,67741761;15,77357187;18,09736187;15,77357187;18,09736187;8,193179209;6,696773354;10,63176553;0,836660027;0,836660027;0;0;0;0
X73280.0198485719;6,890063609;15,38394178;16,43541671;16,97571378;18,92507265;16,97571378;18,92507265;9,809588595;8,544677531;10,60489873;0,948683298;0,948683298;0;0;0;0
X73380.5287863794;7,276687158;14,94913061;16,41962744;16,8703115;19,01507256;16,8703115;19,01507256;10,09362434;8,045901783;10,88223843;1,414213562;1,414213562;0;0;0;0
X73531.2921930906;7,920982589;11,79357462;15,83341588;15,56850482;16,83341588;15,56850482;16,83341588;8,647522229;7,647522229;11,29737119;1,341640786;1,341640786;0;0;0;0
X73631.8011308982;6,71213656;9,139350284;15,11849528;14,61740898;15,66621783;14,61740898;15,66621783;8,452994982;7,905272424;9,983222007;1,048808848;1,048808848;0;0;0;0
X73782.5645376094;6,50365748;10,77564263;14,45035007;14,90365589;16,60659453;14,90365589;16,60659453;10,55624287;8,399998411;11,65147255;1,816590212;1,816590212;0;0;0;0
X73883.0734754169;8,480493947;14,76940824;10,94483499;15,80222331;17,3187984;15,80222331;17,3187984;10,16254259;5,305154272;14,62052652;3,178049716;3,178049716;0,948683298;0,948683298;0;0
X74033.8368821281;6,031992326;11,35010149;12,03863219;13,53357942;15,55842509;13,53357942;15,55842509;9,579230238;6,506650938;12,77736111;2,50998008;2,50998008;0,836660027;0,836660027;0;0
X74134.3458199357;6,543782846;13,04649117;14,00998778;15,1414224;16,95801261;15,1414224;16,95801261;9,996471056;7,823042886;12,10255969;2,569046516;2,569046516;0,948683298;0,948683298;0;0
X74285.1092266469;4,176279579;14,49071712;16,14933112;14,15500155;16,78178666;14,15500155;16,78178666;10,29494974;9,662494203;7,477794383;0,316227766;0,316227766;0;0;0;0
X74385.6181644544;3,619392214;14,17651676;15,55492164;13,46648581;16,05492164;13,46648581;16,05492164;9,8470936;9,3470936;6,652542392;1,048808848;1,048808848;0;0;0;0
X74536.3815711656;5,342212157;16,34519749;16,6755494;14,66615953;18,46089272;14,66615953;18,46089272;9,844379632;8,375264073;8,240487506;0;0;0;0;0;0
X74636.8905089732;4,269827597;17,85944604;15,65385493;13,31426828;18,63404271;13,31426828;18,63404271;8,566750223;6,92820323;5,819020935;0,547722558;0,547722558;0,316227766;0,316227766;0;0
X74888.1628534919;5,408216846;17,16413913;16,90535404;14,01850973;18,94801275;14,01850973;18,94801275;9,705738003;7,663079293;6,891456543;0;0;0;0;0;0
X75139.4351980106;4,422134978;16,20983044;15,76261684;13,62718785;17,55147122;13,62718785;17,55147122;9,205052869;7,863412083;6,590083317;0;0;0;0;0;0
X75390.7075425294;2,701851217;15,23985519;15,68706878;10,84971414;15,68706878;10,84971414;15,68706878;8,147862919;8,147862919;4,982202067;0;0;0;0;0;0
X75641.9798870481;4,017578871;18,22704601;15,18172652;15,28482028;19,49195708;15,28482028;19,49195708;8,221921916;7,273238618;6,446570431;0,316227766;0,316227766;0;0;0;0
X75893.2522315669;5,230659741;16,96076412;16,49777453;12,58849436;18,48764684;12,58849436;18,48764684;8,453279733;6,463407427;7,205501506;0;0;0;0;0;0
X76044.0156382781;5,500339544;19,16756322;14,19514206;15,9331212;21,71239451;16,4331212;22,21239451;9,424462115;4,647580015;7,42387795;0;0;0;0;0;0
X76094.2701071819;5,820528992;18,78433789;13,37774536;17,45834422;22,86204665;17,45834422;22,86204665;10,59036572;4,780299037;8,70150105;0;0;0;0;0;0
X76144.5245760856;5,529822128;19,0691184;13,01158848;17,61697214;22,97421024;17,61697214;22,97421024;10,64205076;4,654350389;7,290503814;0,774596669;0,774596669;0;0;0;0
X76295.2879827969;5,310217754;16,36321746;8,281152383;18,54128016;22,86562982;19,48996345;23,81431312;13,14040737;2,167948339;6,759355429;0;0;0;0;0;0
X76345.5424517006;5,700375825;15,95122368;7,589983146;18,28198719;21,91516761;18,91444272;22,54762315;12,67586925;2,167948339;6,79582094;0;0;0;0;0;0
X76395.7969206044;5,843908891;15,99778971;7,616009251;18,23429369;22,333074;19,18297699;23,2817573;12,95728764;1,673320053;7,741275488;0;0;0;0;0;0
X76647.0692651232;5,169210233;15,75785854;6,645623775;18,28284576;21,99768089;18,78284576;22,49768089;12,01139411;1,516575089;6,393955105;0;0;0;0;0;0
X76898.3416096419;5,674463964;14,66135059;5,807088387;18,69692288;21,73007306;18,69692288;21,73007306;13,0676349;1,549193338;6,51112399;0;0;0;0;0;0
X77149.6139541607;7,547158507;14,50564424;5,604685118;18,81037578;21,75995202;19,51748256;22,4670588;14,64231858;0,894427191;7,863386273;0;0;0;0;0;0
X77400.8862986794;6,66427007;12,50576324;5,148103305;19,03577728;21,27184526;19,98446058;22,22052856;15,65789029;1,095445115;7,929181134;0;0;0;0;0;0
X77652.1586431982;5,407614828;12,72279547;5,196766984;18,61230405;21,25805536;18,92853181;21,57428313;13,12230037;0,707106781;6,302042019;0;0;0;0;0;0
X77903.4309877169;5,069911163;11,70901351;3,993262721;19,55838825;21,26132689;20,65383337;22,356772;15,32471217;0,948683298;5,61763372;0;0;0;0;0;0
X78154.7033322356;3,898717738;9,119594174;1,643167673;18,50667722;20,14984489;19,77158828;21,41475595;16,19387952;0;5,163628802;0;0;0;0;0;0
X78405.9756767544;4,189211112;10,35122302;2,942705765;19,43633178;21,16838259;20,48514063;22,21719144;16,63337896;0,894427191;4,821666644;0;0;0;0;0;0
X78657.2480212731;3,718299042;11,1959555;3,486401845;20,03953738;22,18429844;20,67199291;22,81675397;15,78631111;0,894427191;4,165512638;0;0;0;0;0;0
X78908.5203657919;3,788092907;10,16236227;2,750661194;18,41504166;20,1179803;19,86417933;21,56711797;15,14512605;0,5;4,335815464;0;0;0;0;0;0
X79159.7927103107;3,964101615;9,458416303;2,173320053;18,60779753;20,28111759;19,65660638;21,32992644;15,33561175;0;4,511824173;0;0;0;0;0;0
X79411.0650548294;3,00998008;7,688456945;1,969115559;18,64759312;19,28004865;19,74303823;20,37549377;16,03367693;0,836660027;3,457193675;0;0;0;0;0;0
