;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE
21175,24115;0,48507125;3,370124007;3,855195257;3,370124007;3,370124007;3,370124007;3,370124007;2,885052757;2,885052757;7,36214313;22,83869197;16,90638785;2,455439982;2,455439982;;1%;4%;5%;4%;4%;4%;4%;4%;4%;9%;29%;21%;3%;3%
21564,7929;0,805609473;2,669344951;2,266540215;2,669344951;2,669344951;2,669344951;2,669344951;2,266540215;1,863735478;7,37893506;13,30804299;16,07980012;1,71363112;1,71363112;;1%;4%;4%;4%;4%;4%;4%;4%;3%;12%;22%;26%;3%;3%
21809,47281;0;1,600382607;1,600382607;1,600382607;1,600382607;1,600382607;1,600382607;1,600382607;1,600382607;6,73931505;21,85238823;16,71345578;2,841678836;2,841678836;;0%;3%;3%;3%;3%;3%;3%;3%;3%;11%;34%;26%;4%;4%
22240,57846;1,787723144;3,066927442;1,787723144;3,066927442;3,066927442;3,066927442;3,066927442;1,279204298;0,639602149;9,139284512;12,28891494;13,56811924;0,639602149;0,639602149;;3%;5%;3%;5%;5%;5%;5%;2%;1%;16%;22%;24%;1%;1%
22434,89416;1,331451003;3,435025887;3,021334046;3,021334046;3,435025887;3,435025887;3,848717729;2,517266725;1,689883043;8,761437409;8,390550219;8,390550219;0,827383683;0,827383683;;3%;6%;6%;6%;6%;6%;7%;5%;3%;17%;16%;16%;2%;2%
22777,15888;3,410363315;7,120393126;7,321739943;6,358106382;7,120393126;6,358106382;7,120393126;2,947743067;2,947743067;9,822977573;25,91814527;13,1858177;1,484150499;1,484150499;;3%;7%;7%;6%;7%;6%;7%;3%;3%;10%;25%;13%;1%;1%
23017,69505;4,0982371;7,440101902;7,319319237;6,932860119;7,826561019;6,932860119;7,826561019;3,72832392;2,448163903;10,29993356;14,70858171;17,58717768;3,54529241;3,54529241;;4%;7%;7%;7%;8%;7%;8%;4%;2%;10%;14%;17%;3%;3%
23268,45401;4,327436446;8,490435253;6,505651993;7,655207864;8,490435253;7,655207864;8,490435253;4,683897712;3,013442935;10,52599722;11,77119393;15,61986426;3,429094698;3,429094698;;4%;8%;6%;7%;8%;7%;8%;4%;3%;10%;11%;15%;3%;3%
23514,48208;1,494068418;2,424724218;2,424724218;2,424724218;2,424724218;2,424724218;2,424724218;0,9306558;0,9306558;6,115531768;7,079959819;8,780613135;0,565395553;0,565395553;;4%;6%;6%;6%;6%;6%;6%;2%;2%;15%;17%;21%;1%;1%
23798,25938;1,616844721;4,139366347;4,139366347;3,701140923;4,139366347;3,701140923;4,139366347;2,084296202;2,084296202;5,799317624;5,844006289;8,366527915;0,876450849;0,876450849;;3%;8%;8%;7%;8%;7%;8%;4%;4%;11%;11%;16%;2%;2%
24036,49631;4,314862249;6,321925249;5,526893506;6,321925249;6,321925249;6,321925249;6,321925249;2,802094743;2,007063;9,587611702;8,340982808;9,136014551;0,504694939;0,504694939;;6%;9%;7%;9%;9%;9%;9%;4%;3%;13%;11%;12%;1%;1%
24131,68861;2,072968404;5,580767146;4,875073167;5,348832694;5,895095629;5,348832694;5,895095629;2,570170311;2,255841829;6,392884682;18,38463493;9,869720818;0,705693979;0,705693979;;3%;7%;6%;7%;8%;7%;8%;3%;3%;8%;24%;13%;1%;1%
24317,55326;2,377443811;5,050266124;5,050266124;4,574459176;5,050266124;4,574459176;5,050266124;2,197015365;2,197015365;6,637029213;18,14297033;9,423875808;1,771637475;1,771637475;;3%;7%;7%;6%;7%;6%;7%;3%;3%;9%;25%;13%;2%;2%
24798,57298;3,060627673;5,759298286;4,604597748;5,759298286;5,759298286;5,759298286;5,759298286;2,698670613;2,121320344;8,052287384;23,59608297;12,12121086;0,866025404;0,866025404;;4%;7%;5%;7%;7%;7%;7%;3%;2%;9%;27%;14%;1%;1%
25014,43028;0,629969036;5,089423023;4,459453987;4,799994713;5,719392059;4,799994713;5,719392059;3,540056641;2,910087604;4,911800504;14,24173048;10,6906512;0,629969036;0,629969036;;1%;7%;6%;7%;8%;7%;8%;5%;4%;7%;21%;16%;1%;1%
25235,60986;2,002195715;4,579443125;5,690345481;4,85879001;5,138136894;4,85879001;5,138136894;3,135941179;2,577247409;7,221933711;26,83764513;10,53292098;0,279346885;0,279346885;;2%;6%;7%;6%;6%;6%;6%;4%;3%;9%;32%;13%;0%;0%
25584,02913;2,452479965;5,907931605;5,907931605;5,217135907;5,907931605;5,217135907;5,907931605;2,764655942;2,764655942;6,816420151;7,444561888;10,5984039;0,690795699;0,690795699;;4%;9%;9%;8%;9%;8%;9%;4%;4%;10%;11%;16%;1%;1%
25866,59256;1,456051969;4,002991223;4,002991223;4,002991223;4,002991223;4,002991223;4,002991223;2,546939254;2,546939254;6,525654849;8,611158018;12,05812153;0;0;;3%;7%;7%;7%;7%;7%;7%;4%;4%;11%;15%;21%;0%;0%
26288,75728;2,501350986;5,719300545;5,719300545;5,002701973;5,719300545;5,002701973;5,719300545;2,501350986;2,501350986;7,133786572;22,46492017;12,11318403;0,838273644;0,838273644;;3%;7%;7%;6%;7%;6%;7%;3%;3%;9%;27%;14%;1%;1%
26643,97191;3,641090568;6,154689943;6,154689943;6,154689943;6,154689943;6,415806427;6,415806427;3,035832343;2,513599375;9,134888724;26,44759355;12,80523955;0,522232968;0,522232968;;4%;6%;6%;6%;6%;7%;7%;3%;3%;10%;28%;13%;1%;1%
26992,28854;3,604892457;5,969885049;5,969885049;5,969885049;5,969885049;6,435552182;6,435552182;2,830659725;2,364992593;8,741206352;8,582888188;8,582888188;0;0;;5%;8%;8%;8%;8%;9%;9%;4%;3%;12%;12%;12%;0%;0%
27339,57703;2,839815386;6,265355967;6,894012933;6,57968445;6,894012933;7,414911838;7,729240321;4,889424935;3,425540581;8,534912552;31,22604589;11,80774915;1,452927265;1,452927265;;3%;6%;6%;6%;6%;7%;7%;5%;3%;8%;29%;11%;1%;1%
27688,11276;3,061248869;6,051576624;6,650215997;6,650215997;6,650215997;6,650215997;6,650215997;3,588967128;3,588967128;9,474586634;28,93566723;16,32891062;1,990500759;1,990500759;;3%;6%;6%;6%;6%;6%;6%;3%;3%;9%;27%;15%;2%;2%
27981,74654;3,556371965;6,058731101;6,918804369;6,058731101;6,488767735;6,991395571;7,421432205;3,435023605;2,502359135;10,44441998;30,34255011;13,92504422;0,93266447;0,93266447;;3%;6%;7%;6%;6%;7%;7%;3%;2%;10%;29%;13%;1%;1%
28055,15499;4,40079136;7,070457752;8,75303491;8,163579545;8,163579545;8,163579545;8,163579545;3,762788185;3,762788185;10,36040118;11,54799569;15,8144503;0,589455365;0,589455365;;4%;7%;9%;8%;8%;8%;8%;4%;4%;10%;12%;16%;1%;1%
28478,87486;4,978983694;8,171828665;7,858187662;9,602554485;10,02713912;10,53020971;10,95479434;7,217106876;3,695915565;11,16633426;35,80748417;17,26201326;0,849169262;0,849169262;;4%;6%;6%;7%;7%;8%;8%;5%;3%;8%;26%;12%;1%;1%
