Longitude;Latitude;SampleName
37.549;37.75;Barboni_a115
37.279;37.88;Barboni_a116
39.529;38.5;Barboni_a117
39.549;38.47;Barboni_a118
39.669;38.4;Barboni_a119
26.9;44.11;Barboni_a12
39.75;38.279;Barboni_a120
40.169;37.979;Barboni_a121
40.049;38.069;Barboni_a122
39.88;38.18;Barboni_a123
39.819;38.2;Barboni_a124
41.029;38.5;Barboni_a125
11.92569444;43.09236111;Barboni_a1256
13.40763889;41.28541667;Barboni_a1257
15.87791667;40.05583333;Barboni_a1258
15.83638889;40.14333333;Barboni_a1259
40.5;38.52;Barboni_a126
15.60555556;40.93027778;Barboni_a1260
14.37406389;41.60957222;Barboni_a1261
11.455;42.48666667;Barboni_a1262
11.77;42.61194444;Barboni_a1263
10.00319444;44.43736111;Barboni_a1264
13.60763889;42.37361111;Barboni_a1265
15.61305556;40.9325;Barboni_a1266
13.64527778;42.34638889;Barboni_a1267
12.1666;42.3333;Barboni_a1268
12.30138889;42.20638889;Barboni_a1269
40.5;38.58;Barboni_a127
12.84986111;41.68972222;Barboni_a1270
-2;37.08333333;Barboni_a1271
-8.666666667;39.1;Barboni_a1272
-6.533333333;37.11666667;Barboni_a1273
-5.77;43.52;Barboni_a1274
-1.537917;43.462778;Barboni_a1275
8.906;62.5668;Barboni_a1276
-1.629444;40.531667;Barboni_a1277
-1.1;43.034;Barboni_a1278
-1.1;43.034;Barboni_a1279
40.979;38.77;Barboni_a128
-1.1;43.034;Barboni_a1280
-1.12;43.034;Barboni_a1281
-1.12;43.034;Barboni_a1282
-1.12;43.034;Barboni_a1283
-1.12;43.034;Barboni_a1284
-1.12;43.034;Barboni_a1285
-1.12;43.034;Barboni_a1286
-1.12;43.034;Barboni_a1287
-1.12;43.034;Barboni_a1288
-1.12;43.034;Barboni_a1289
40.43;38.909;Barboni_a129
-1.12;43.034;Barboni_a1290
-1.12;43.034;Barboni_a1291
-1.12;43.034;Barboni_a1292
-1.13;43.034;Barboni_a1293
-1.13;43.034;Barboni_a1294
-7.483333;43.45;Barboni_a1295
-4.436111111;43.21555556;Barboni_a1296
30.05;37.46666667;Barboni_a1297
-6.813889;42.866667;Barboni_a1298
-7.111111;42.705556;Barboni_a1299
26.9;44.11;Barboni_a13
40.2;38.869;Barboni_a130
-3.866667;43.083333;Barboni_a1300
-3.441026;43.150906;Barboni_a1301
-3.441026;43.150906;Barboni_a1302
-3.016667;42.033333;Barboni_a1303
2.029444;42.675;Barboni_a1304
7.473333333;44.13;Barboni_a1305
-0.219401;41.043063;Barboni_a1306
-0.20464;41.043861;Barboni_a1307
-0.219401;41.043063;Barboni_a1308
-0.261667;41.401111;Barboni_a1309
2.7;45.41;Barboni_a131
-0.256528;41.408333;Barboni_a1310
